# RCBIRE
parameter,independent_variables,3
parameter,coordinate_system,body
BIRE[deg],alpha[deg],beta[deg],Cx,Cy,Cz,Cl,Cm,Cn
-45.0,-20.0,-20.0,0.143617369769,0.27945487342,1.161566082446,-0.000957736258,0.347511635088,-0.098163372455
-45.0,-20.0,-10.0,0.144013246717,0.178465866567,1.168048598164,0.00545151234,0.196313468672,-0.071435936738
-45.0,-20.0,0.0,0.124010750709,0.071963688704,1.151732881387,0.007165903757,0.096168112915,-0.039142301244
-45.0,-20.0,10.0,0.127110880708,-0.028869329892,1.0690710352,0.007200153377,0.065768290409,-0.00922210684
-45.0,-20.0,20.0,0.109328825795,-0.107114001672,0.974209376965,0.003085761431,0.09922047517,0.005403313263
-45.0,-15.0,-20.0,0.077557426511,0.257552214125,0.869471286155,-0.003174178821,0.286537952739,-0.079497499483
-45.0,-15.0,-10.0,0.067937276891,0.152417820347,0.860634233893,0.004546359852,0.143739109398,-0.054974418504
-45.0,-15.0,0.0,0.05118772763,0.049413742865,0.836550724417,0.005360218335,0.047579463163,-0.026745698466
-45.0,-15.0,10.0,0.05485060523,-0.036665220645,0.767135882922,0.00048265843,0.021300671621,-0.007313277151
-45.0,-15.0,20.0,0.049009769902,-0.123183861051,0.67882106221,-0.002715411256,0.032004996766,0.007701218928
-45.0,-10.0,-20.0,0.020495346369,0.234900365878,0.579665978005,-0.005641472993,0.221671386229,-0.062257044247
-45.0,-10.0,-10.0,0.012436614668,0.129945752467,0.553688622452,0.002746838621,0.098704150675,-0.040921326522
-45.0,-10.0,0.0,0.002805329258,0.033296016399,0.521696758733,0.002760206268,0.013364082367,-0.017998131016
-45.0,-10.0,10.0,0.003235906916,-0.045196943275,0.465037262652,-0.003032542263,-0.018312069417,-0.004353090861
-45.0,-10.0,20.0,-0.000518970337,-0.137539626431,0.39058486059,-0.006644725753,-0.03192333795,0.010479731302
-45.0,-5.0,-20.0,-0.019709414141,0.21454599345,0.289417401911,-0.009839293012,0.158246954666,-0.048154233867
-45.0,-5.0,-10.0,-0.02356161732,0.109425113259,0.245387578318,-9.2450715e-05,0.057727692352,-0.02870173289
-45.0,-5.0,0.0,-0.026632555794,0.020879902404,0.207742938921,0.000846247805,-0.012212949773,-0.011106614474
-45.0,-5.0,10.0,-0.028351180307,-0.060988705985,0.158476247921,-0.00255406164,-0.059020248148,0.003177665643
-45.0,-5.0,20.0,-0.032297664188,-0.156677692233,0.099583968867,-0.006395044563,-0.097527410057,0.017879796751
-45.0,0.0,-20.0,-0.038246506481,0.197682203978,-0.00251113996,-0.015577575764,0.095859584213,-0.037803845152
-45.0,0.0,-10.0,-0.040138863929,0.095598270404,-0.060198902849,-0.004742140906,0.023538951576,-0.020820157823
-45.0,0.0,0.0,-0.040491740435,0.002367674832,-0.111777424966,0.000347247259,-0.041435709376,-0.0012375848
-45.0,0.0,10.0,-0.041365241978,-0.083133297515,-0.152395257304,0.000151438369,-0.101058531588,0.014421900717
-45.0,0.0,20.0,-0.041445110173,-0.181937385642,-0.196313711256,-0.002442711205,-0.164691497772,0.030650855699
-45.0,5.0,-20.0,-0.033102383713,0.179356618006,-0.297175651903,-0.020569226299,0.025813052725,-0.028841666103
-45.0,5.0,-10.0,-0.037506289634,0.086316642902,-0.358596761677,-0.00697765235,-0.004021898257,-0.016096515202
-45.0,5.0,0.0,-0.039067904171,-0.015737044083,-0.431311065299,-0.00085957847,-0.071900772899,0.00838362362
-45.0,5.0,10.0,-0.03457239246,-0.105841423807,-0.459025092904,0.004299461119,-0.138232065984,0.026788738957
-45.0,5.0,20.0,-0.026754207831,-0.205650112612,-0.486707189461,0.002276632431,-0.227158545601,0.044566433189
-45.0,10.0,-20.0,-0.004707251786,0.167933316393,-0.578181431957,-0.020738524326,-0.034848185952,-0.025713350958
-45.0,10.0,-10.0,-0.014903797492,0.071253300571,-0.662194288183,-0.008883114896,-0.044217957945,-0.009028995343
-45.0,10.0,0.0,-0.021018814662,-0.024881079906,-0.734615605666,0.000645590688,-0.087012674531,0.013494020068
-45.0,10.0,10.0,-0.007305712147,-0.128070677403,-0.764039228352,0.00640628415,-0.177870758121,0.03958859821
-45.0,10.0,20.0,0.010319345132,-0.229365312251,-0.771457178244,0.005679103427,-0.28981516296,0.060247014053
