# RCBIRE
parameter,independent_variables,4
parameter,coordinate_system,body
BIRE[deg],alpha[deg],beta[deg],elevator[deg],Cx,Cy,Cz,Cl,Cm,Cn
-45.0,-10.0,10.0,-30.0,-0.063196817157,0.106324048162,0.132378129004,0.010346154352,0.176893337114,-0.057392962346
-45.0,-10.0,10.0,-20.0,-0.035744257311,0.080785214588,0.098729949771,0.007447392913,0.132370323229,-0.043705904263
-45.0,-10.0,10.0,-10.0,-0.012216252054,0.045269319053,0.054228274812,0.003938827869,0.072987261163,-0.024561074375
-45.0,-10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-10.0,10.0,10.0,-0.012376319101,-0.047753010646,-0.053917341377,-0.003808760428,-0.073500524542,0.026113473528
-45.0,-10.0,10.0,20.0,-0.036070486054,-0.088220150504,-0.098465136153,-0.006974857925,-0.134735047752,0.048389433392
-45.0,-10.0,10.0,30.0,-0.06368336804,-0.119560186476,-0.132270663426,-0.009460973743,-0.181570619089,0.065744567706
-45.0,-10.0,20.0,-30.0,-0.054294422438,0.089731866996,0.138397979753,0.01741055957,0.185237386955,-0.046928030745
-45.0,-10.0,20.0,-20.0,-0.029386483266,0.070404834515,0.103609982406,0.012506532218,0.13918111276,-0.03699295377
-45.0,-10.0,20.0,-10.0,-0.008839715078,0.040810353247,0.057250393941,0.006594183451,0.077244589938,-0.021550916314
-45.0,-10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-10.0,20.0,10.0,-0.015408503247,-0.047093665634,-0.056904274609,-0.006348482027,-0.077733857518,0.025157478897
-45.0,-10.0,20.0,20.0,-0.041958570242,-0.088925106134,-0.104895123288,-0.0115491278,-0.143967006732,0.047642006834
-45.0,-10.0,20.0,30.0,-0.072035251582,-0.122615240544,-0.14196811417,-0.015573579559,-0.195607728278,0.065834436411
-45.0,-5.0,-20.0,-30.0,-0.081636354501,0.142469091965,0.13317557201,-0.010875242858,0.184009665278,-0.07510982642
-45.0,-5.0,-20.0,-20.0,-0.048521349801,0.103332533616,0.097688312474,-0.00793100397,0.135120288453,-0.054601992851
-45.0,-5.0,-20.0,-10.0,-0.018705348878,0.054777081099,0.052457285544,-0.004264536322,0.072653586517,-0.02902906776
-45.0,-5.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-5.0,-20.0,10.0,-0.006191153526,-0.048445340184,-0.050224785372,0.004227096603,-0.070021409179,0.025932440987
-45.0,-5.0,-20.0,20.0,-0.024344907687,-0.084464923274,-0.089131765575,0.007848446269,-0.124477805674,0.045397288846
-45.0,-5.0,-20.0,30.0,-0.047237122532,-0.108882316291,-0.116909542499,0.010757091694,-0.163528930047,0.058741499781
-45.0,-5.0,-10.0,-30.0,-0.074551452645,0.119585203932,0.120763250144,-0.003620491276,0.164325657386,-0.06417931573
-45.0,-5.0,-10.0,-20.0,-0.043602980073,0.088036768483,0.089359122241,-0.002634414056,0.121880009278,-0.047361145821
-45.0,-5.0,-10.0,-10.0,-0.016198185366,0.047529273247,0.048525888355,-0.001411879543,0.066370915905,-0.025648777543
-45.0,-5.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-5.0,-10.0,10.0,-0.008596145265,-0.044713963206,-0.047152491342,0.001402565913,-0.065111591187,0.024413658431
-45.0,-5.0,-10.0,20.0,-0.028927062315,-0.079639382461,-0.084606692365,0.002593932843,-0.117146823498,0.043685152461
-45.0,-5.0,-10.0,30.0,-0.05368693836,-0.104643943816,-0.111950852706,0.003544255968,-0.155368809738,0.057644186601
-45.0,-5.0,0.0,-30.0,-0.067013807107,0.106114530366,0.119010592839,0.003366936816,0.160056712687,-0.057431798995
-45.0,-5.0,0.0,-20.0,-0.038323627766,0.079632040268,0.088751553965,0.002439801634,0.119761523174,-0.043196796915
-45.0,-5.0,0.0,-10.0,-0.01347698696,0.043984439727,0.048699874186,0.001300981349,0.065974353954,-0.023928960804
-45.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-5.0,0.0,10.0,-0.011192482746,-0.044488910747,-0.0481611739,-0.001274061172,-0.065997008006,0.024466578984
-45.0,-5.0,0.0,20.0,-0.033884100444,-0.081109747617,-0.087509419808,-0.002344606808,-0.120347633526,0.044783443066
-45.0,-5.0,0.0,30.0,-0.060663492657,-0.10872773725,-0.116998703658,-0.003190174945,-0.161382751291,0.060242735429
-45.0,-5.0,10.0,-30.0,-0.062503858887,0.101368945775,0.124972133199,0.009143801779,0.167319185361,-0.054673271314
-45.0,-5.0,10.0,-20.0,-0.035245734515,0.077590756952,0.093819739972,0.006595206344,0.126110892429,-0.041945481103
-45.0,-5.0,10.0,-10.0,-0.011933589644,0.043845548456,0.051946389971,0.003495901953,0.070151290996,-0.023770044295
-45.0,-5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-5.0,10.0,10.0,-0.012778586607,-0.047248627567,-0.052464448053,-0.003402347424,-0.071841750141,0.025834210673
-45.0,-5.0,10.0,20.0,-0.037020457776,-0.087888553891,-0.096503900588,-0.006232246489,-0.132730617335,0.048197516475
-45.0,-5.0,10.0,30.0,-0.065218411846,-0.119769074887,-0.130366681776,-0.008451625841,-0.17995863807,0.065843198946
-45.0,-5.0,20.0,-30.0,-0.053489328207,0.09490114377,0.137990830686,0.01465794829,0.185761171143,-0.049842510951
-45.0,-5.0,20.0,-20.0,-0.028748681052,0.074457060024,0.104069261829,0.010508439229,0.140678993346,-0.039261580886
-45.0,-5.0,20.0,-10.0,-0.008460869779,0.043206885811,0.058019890614,0.00552464582,0.078818241904,-0.022882218557
-45.0,-5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-5.0,20.0,10.0,-0.016158822189,-0.049988325804,-0.059292945865,-0.005283363368,-0.081689036332,0.026738913057
-45.0,-5.0,20.0,20.0,-0.043600318913,-0.094796013055,-0.110285293487,-0.009573715914,-0.152712777578,0.050833568327
-45.0,-5.0,20.0,30.0,-0.074595731243,-0.131178336324,-0.15036689729,-0.012869330186,-0.209079992597,0.070473522161
-45.0,0.0,-20.0,-30.0,-0.07692385085,0.13633473846,0.118675050765,-0.01430338718,0.162441903801,-0.071828922775
-45.0,0.0,-20.0,-20.0,-0.04533333722,0.099205982531,0.087814839886,-0.010399220032,0.120412247902,-0.052391051795
-45.0,0.0,-20.0,-10.0,-0.017134291341,0.052816883204,0.047644095707,-0.005569860036,0.065465932534,-0.027976495271
-45.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,-20.0,10.0,-0.007381939517,-0.047005467229,-0.046961827536,0.005468573009,-0.06508651617,0.025151197005
-45.0,0.0,-20.0,20.0,-0.026506622363,-0.082330473696,-0.084078631854,0.010114497631,-0.116776152411,0.044233989386
-45.0,0.0,-20.0,30.0,-0.050150685835,-0.10653225763,-0.111078322609,0.013819810075,-0.154565023985,0.057452840498
-45.0,0.0,-10.0,-30.0,-0.070981929139,0.118348105055,0.110971379545,-0.006857790154,0.150638636663,-0.063409966248
-45.0,0.0,-10.0,-20.0,-0.041167755138,0.087405990803,0.082947539196,-0.00496977689,0.112924524321,-0.046954668
-45.0,0.0,-10.0,-10.0,-0.014979655625,0.047398596742,0.045581786643,-0.002650586364,0.062264347412,-0.025548381302
-45.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,-10.0,10.0,-0.009654009972,-0.044765789821,-0.045865510698,0.002600056161,-0.063309395083,0.024443556875
-45.0,0.0,-10.0,20.0,-0.030935074887,-0.080146364843,-0.083175314013,0.0047928547,-0.115147647806,0.043977710341
-45.0,0.0,-10.0,30.0,-0.056495928421,-0.105751895425,-0.111029750178,0.006532298862,-0.154089273567,0.058285675735
-45.0,0.0,0.0,-30.0,-0.064192806132,0.106780358472,0.114941390578,0.000420958445,0.154850569417,-0.05766369006
-45.0,0.0,0.0,-20.0,-0.036342538931,0.080482118071,0.086434241384,0.000311742897,0.116883704719,-0.043568915873
-45.0,0.0,0.0,-10.0,-0.012449726212,0.044706243124,0.047903524493,0.000170343232,0.065062835054,-0.024276264038
-45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,0.0,10.0,-0.012248661629,-0.045808258895,-0.048730628335,-0.000173965328,-0.067001633791,0.025156070696
-45.0,0.0,0.0,20.0,-0.03595753244,-0.084093369818,-0.089414533451,-0.000322596099,-0.123402064544,0.046365358317
-45.0,0.0,0.0,30.0,-0.063649427905,-0.113378212275,-0.120519056933,-0.000440238611,-0.166839805542,0.062729792007
-45.0,0.0,10.0,-30.0,-0.058454149398,0.100138668244,0.123490563483,0.006917762119,0.166392515172,-0.053881450963
-45.0,0.0,10.0,-20.0,-0.032284746083,0.077128051015,0.093306308816,0.004992772112,0.126258514641,-0.041598420608
-45.0,0.0,10.0,-10.0,-0.010324835224,0.043902315179,0.05207388062,0.002647609569,0.070816330894,-0.02374568147
-45.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,10.0,10.0,-0.014425385477,-0.04832233777,-0.053499160072,-0.002577786039,-0.073770703987,0.026373903068
-45.0,0.0,10.0,20.0,-0.040229487024,-0.090541581524,-0.099183970664,-0.004711478859,-0.137388314539,0.049560819544
-45.0,0.0,10.0,30.0,-0.069788978684,-0.124129277609,-0.134828517157,-0.006375228807,-0.187452041363,0.068110969223
-45.0,0.0,20.0,-30.0,-0.051632015544,0.101727219016,0.140964218857,0.011532457525,0.190922929825,-0.053587691699
-45.0,0.0,20.0,-20.0,-0.027366984465,0.079824425292,0.106969217557,0.008235870131,0.145507801015,-0.042194104942
-45.0,0.0,20.0,-10.0,-0.007693876604,0.046372795607,0.060077554993,0.004307482991,0.082138162304,-0.024604563141
-45.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,20.0,10.0,-0.01717554837,-0.053833955855,-0.062831789491,-0.00406589947,-0.087158239027,0.028817991017
-45.0,0.0,20.0,20.0,-0.045673298707,-0.102481865148,-0.117720746188,-0.007323375701,-0.16410829527,0.054984885275
-45.0,0.0,20.0,30.0,-0.077663160443,-0.142275643066,-0.161461249464,-0.009797072039,-0.225992076009,0.076464793188
-45.0,5.0,-20.0,-30.0,-0.070553255223,0.133276547263,0.105883708559,-0.017797083827,0.141798781478,-0.070562371084
-45.0,5.0,-20.0,-20.0,-0.04090820893,0.097342294176,0.079203146154,-0.012907801332,0.106413521553,-0.051654433382
-45.0,5.0,-20.0,-10.0,-0.014883760681,0.052081720286,0.043514384269,-0.006891465883,0.058676512601,-0.027717566843
-45.0,5.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,5.0,-20.0,10.0,-0.009287742083,-0.046871222405,-0.044369273039,0.006713909849,-0.060569159964,0.025193099101
-45.0,5.0,-20.0,20.0,-0.029979973888,-0.082636810897,-0.080245268554,0.012373295909,-0.109839027351,0.044599416284
-45.0,5.0,-20.0,30.0,-0.054843239378,-0.107554570966,-0.106887378618,0.016855453559,-0.146633195173,0.058263992983
-45.0,5.0,-10.0,-30.0,-0.068438916808,0.121305523757,0.114433238201,-0.008109228367,0.154889398996,-0.064856644303
-45.0,5.0,-10.0,-20.0,-0.039444880791,0.09021707258,0.085961756831,-0.005839142553,0.116732573414,-0.048359348807
-45.0,5.0,-10.0,-10.0,-0.014138898733,0.049345084526,0.047551009591,-0.003090817581,0.064819667501,-0.026535076464
-45.0,5.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,5.0,-10.0,10.0,-0.010583593694,-0.048468593932,-0.048314020953,0.002969213963,-0.066518328018,0.026390664722
-45.0,5.0,-10.0,20.0,-0.032684234499,-0.087841861595,-0.088311706454,0.005444543851,-0.121964202337,0.048033639676
-45.0,5.0,-10.0,30.0,-0.058963673822,-0.117213725164,-0.118651316295,0.007391171376,-0.164270279797,0.064339268915
-45.0,5.0,0.0,-30.0,-0.061270242771,0.110079585334,0.111986216397,-0.00243401102,0.150175190495,-0.059518177878
-45.0,5.0,0.0,-20.0,-0.034285939748,0.083265621021,0.084939856791,-0.001737933749,0.114401110006,-0.04513228763
-45.0,5.0,0.0,-10.0,-0.011381338955,0.046474918822,0.047553463949,-0.000909976298,0.064365138746,-0.025268615383
-45.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,5.0,0.0,10.0,-0.013341529701,-0.048184433717,-0.049741940501,0.000852913833,-0.06820304394,0.026498581357
-45.0,5.0,0.0,20.0,-0.038099521919,-0.089037568836,-0.092122583539,0.001548099624,-0.126792276011,0.04916049558
-45.0,5.0,0.0,30.0,-0.066730343499,-0.120708346144,-0.125113984807,0.00208568898,-0.17271651388,0.066877406524
-45.0,5.0,10.0,-30.0,-0.056238272495,0.106265939446,0.124223283632,0.003868907923,0.16762854315,-0.057114438606
-45.0,5.0,10.0,-20.0,-0.030700091728,0.081905494394,0.094597830552,0.002789472931,0.128219426663,-0.044129130386
-45.0,5.0,10.0,-10.0,-0.009486595693,0.046703652536,0.053280037069,0.00147688217,0.072586923521,-0.025236178301
-45.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,5.0,10.0,10.0,-0.015391605669,-0.051504051618,-0.056392134118,-0.001420140592,-0.077863199694,0.028099910137
-45.0,5.0,10.0,20.0,-0.042176184755,-0.096925344663,-0.105467974074,-0.002583568346,-0.146247867626,0.053038311903
-45.0,5.0,10.0,30.0,-0.072654364037,-0.133359973752,-0.144411434435,-0.003480825029,-0.200930329391,0.073156029104
-45.0,5.0,20.0,-30.0,-0.051230605787,0.110337131341,0.144914056831,0.008676870656,0.196545181887,-0.058390195269
-45.0,5.0,20.0,-20.0,-0.027083255389,0.086480213271,0.110570721569,0.006173498349,0.150628890331,-0.045897519777
-45.0,5.0,20.0,-10.0,-0.007540357414,0.050224410281,0.062502340703,0.003212319871,0.085582521926,-0.026741742103
-45.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,5.0,20.0,10.0,-0.017538209341,-0.058336392902,-0.066692700636,-0.002985424614,-0.092623680017,0.031313384406
-45.0,5.0,20.0,20.0,-0.04651402669,-0.11137012132,-0.125713391028,-0.005339783207,-0.175406923865,0.05990873496
-45.0,5.0,20.0,30.0,-0.079027867966,-0.154998121089,-0.173270209321,-0.007101933825,-0.242667662,0.083512551633
-45.0,10.0,-20.0,-30.0,-0.066929920461,0.136142430987,0.104836138255,-0.018126938397,0.139293092051,-0.072367325964
-45.0,10.0,-20.0,-20.0,-0.038494928571,0.099805761319,0.079180903621,-0.013100057651,0.105680971824,-0.053163238687
-45.0,10.0,-20.0,-10.0,-0.013717302624,0.053665637929,0.044006400376,-0.006964382073,0.059027783045,-0.028662324814
-45.0,10.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,10.0,-20.0,10.0,-0.010165252742,-0.049089327729,-0.0461542559,0.006742241803,-0.062766834525,0.026497845282
-45.0,10.0,-20.0,20.0,-0.031570535618,-0.087229416397,-0.084377761586,0.01239550249,-0.115129541565,0.047273390962
-45.0,10.0,-20.0,30.0,-0.056989164405,-0.114360068323,-0.113389587975,0.016858313339,-0.155122666701,0.062201915119
-45.0,10.0,-10.0,-30.0,-0.065802041127,0.124202052928,0.112746410154,-0.010144200145,0.151526959746,-0.066467576427
-45.0,10.0,-10.0,-20.0,-0.037663144969,0.092701044795,0.085412742124,-0.007282807388,0.115260220683,-0.049735980249
-45.0,10.0,-10.0,-10.0,-0.013259827185,0.050950599183,0.047720154944,-0.003839794292,0.064697192645,-0.027421568909
-45.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,10.0,-10.0,10.0,-0.011416832852,-0.050698150382,-0.049807754214,0.003659478792,-0.068244981955,0.027643951608
-45.0,10.0,-10.0,20.0,-0.034320476769,-0.092530353561,-0.091889182768,0.006683469793,-0.126308155594,0.050670007587
-45.0,10.0,-10.0,30.0,-0.061334005889,-0.124216447488,-0.124396047539,0.009045685791,-0.171407442666,0.068281478534
