# RCBIRE
parameter,independent_variables,3
parameter,coordinate_system,body
BIRE[deg],alpha[deg],qbar,Cx,Cy,Cz,Cl,Cm,Cn
-45.0,-20.0,-0.016164922199,0.007508559767,0.016794414089,0.029357448853,0.002575475785,0.028970312197,-0.009263466137
-45.0,-20.0,-0.0080824611,0.003676815387,0.008233114847,0.014469351703,0.00124406429,0.014276346403,-0.004535202827
-45.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-20.0,0.0080824611,-0.003520816195,-0.007934774643,-0.014073268166,-0.001152777453,-0.013886288932,0.004358855788
-45.0,-20.0,0.016164922199,-0.006885007779,-0.01560183944,-0.027773750078,-0.00221023637,-0.027410892115,0.008558575633
-45.0,-15.0,-0.016164922199,0.005518649501,0.014633420196,0.025126348379,0.002183421075,0.026121058951,-0.008017237678
-45.0,-15.0,-0.0080824611,0.00267856183,0.007178845126,0.012372608191,0.001033082368,0.012860019011,-0.003924866426
-45.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-15.0,0.0080824611,-0.00254268547,-0.007029551619,-0.012136036756,-0.000959738253,-0.012653372906,0.003836464182
-45.0,-15.0,0.016164922199,-0.004934690863,-0.013873369862,-0.023982050121,-0.001821271703,-0.025021528775,0.007559756413
-45.0,-10.0,-0.016164922199,0.003654493063,0.013393012917,0.022293885556,0.001744358605,0.0243923447,-0.007275559618
-45.0,-10.0,-0.0080824611,0.001757119448,0.006613988406,0.011021835757,0.000825035259,0.012067886182,-0.003586847293
-45.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-10.0,0.0080824611,-0.001617664278,-0.006466768218,-0.010785817083,-0.000731634145,-0.011825661599,0.003495350146
-45.0,-10.0,0.016164922199,-0.003097034761,-0.012800866675,-0.021347639281,-0.001371704025,-0.023420557514,0.006907866642
-45.0,-5.0,-0.016164922199,0.001861553711,0.0126183488,0.020429617246,0.001262845105,0.023144838572,-0.006794545941
-45.0,-5.0,-0.0080824611,0.000865413926,0.006259956887,0.01012675641,0.000585919889,0.011476920209,-0.0033655655
-45.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-5.0,0.0080824611,-0.000736304482,-0.006179758483,-0.009966531364,-0.000496260367,-0.011302605811,0.003313020361
-45.0,-5.0,0.016164922199,-0.001345408177,-0.012296058164,-0.019787503321,-0.000904732365,-0.022446225398,0.00658339289
-45.0,0.0,-0.016164922199,1.7813936e-05,0.012402375007,0.019554463747,0.000767003398,0.022388541225,-0.006633182322
-45.0,0.0,-0.0080824611,-5.3326009e-05,0.006193982458,0.009734506979,0.000339697786,0.011141411505,-0.003308854961
-45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,0.0080824611,0.000176339688,-0.006200242572,-0.009667743127,-0.000253871052,-0.011056254091,0.003305204991
-45.0,0.0,0.016164922199,0.000474116146,-0.012427410531,-0.019287920311,-0.000423986907,-0.022048746054,0.006618554253
-45.0,5.0,-0.016164922199,-0.001791467347,0.012477541825,0.01963176074,0.000306272377,0.022126596227,-0.006619681566
-45.0,5.0,-0.0080824611,-0.000955234839,0.006273913998,0.009823052205,0.000113578084,0.011059776451,-0.003326018171
-45.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,5.0,0.0080824611,0.001067013983,-0.006237988384,-0.009684706555,-1.3606999e-05,-0.010860128241,0.003307523463
-45.0,5.0,0.016164922199,0.002266767885,-0.012889571338,-0.019836676256,-9.275132e-06,-0.022275152735,0.006819269024
-45.0,10.0,-0.016164922199,-0.003258159861,0.013291979412,0.020953361955,-5.480333e-06,0.022700039201,-0.007062994094
-45.0,10.0,-0.0080824611,-0.001697387261,0.00675813064,0.01060001175,-2.3830433e-05,0.011488252873,-0.003588356922
-45.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,10.0,0.0080824611,0.00181433148,-0.006809351822,-0.010587657001,0.000104284907,-0.011414861483,0.003609865431
-45.0,10.0,0.016164922199,0.003712411012,-0.013548392985,-0.020889185001,0.000372507246,-0.022385635775,0.007186963983
-45.0,15.0,-0.016164922199,-0.004900610694,0.014716087445,0.023762022382,-0.000160171873,0.024591445589,-0.007809993058
-45.0,15.0,-0.0080824611,-0.002522679606,0.007478384291,0.012017339953,-0.000100620336,0.012443837017,-0.003966288881
-45.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,15.0,0.0080824611,0.002649375201,-0.007675035168,-0.012200069535,0.000167297538,-0.012603882928,0.004066427939
-45.0,15.0,0.016164922199,0.005405653712,-0.015507112853,-0.024500974115,0.000424269414,-0.025240492149,0.008213826346
-45.0,20.0,-0.016164922199,-0.006408442833,0.016288203331,0.027116027437,-0.000345691514,0.026461058616,-0.008650851113
-45.0,20.0,-0.0080824611,-0.003271808291,0.008281497172,0.013715640764,-0.000193078833,0.01339211744,-0.00439647684
-45.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,20.0,0.0080824611,0.003406023407,-0.008581874263,-0.014067102474,0.000225697148,-0.013764294032,0.004552169677
-45.0,20.0,0.016164922199,0.006945672154,-0.0174907035,-0.02852445373,0.000475468424,-0.027953850809,0.009274050735
-40.0,-20.0,-0.016164922199,0.007974299064,0.01683388651,0.032584337398,0.002332740066,0.033359597819,-0.009353766843
-40.0,-20.0,-0.0080824611,0.003881752348,0.008226346731,0.016017665902,0.001133953137,0.01637288559,-0.004565876502
