# RCBIRE
parameter,independent_variables,4
parameter,coordinate_system,body
BIRE[deg],alpha[deg],beta[deg],aileron[deg],Cx,Cy,Cz,Cl,Cm,Cn
-45.0,-20.0,-20.0,-30.0,-0.113741263775,-0.014088677601,-0.094686202334,0.096634914386,0.067993507503,0.007299999209
-45.0,-20.0,-20.0,-20.0,-0.074144300266,-0.011488966326,-0.073496524098,0.070477030422,0.0429434295,0.005085299131
-45.0,-20.0,-20.0,-10.0,-0.034751148622,-0.006947640888,-0.042078421149,0.037975652764,0.019844679851,0.002662037227
-45.0,-20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-20.0,-20.0,10.0,0.000804423392,0.016096442578,0.050512446143,-0.037898033401,-0.014433618965,-0.003543334621
-45.0,-20.0,-20.0,20.0,-0.007860245104,0.033374384872,0.097043681213,-0.070188658331,-0.023881531729,-0.007791544961
-45.0,-20.0,-20.0,30.0,-0.022669434942,0.050878037598,0.136471483043,-0.09615532507,-0.029486087327,-0.012598356984
-45.0,-20.0,-10.0,-30.0,-0.089976910193,-0.018008166281,-0.047310470603,0.101847593862,0.032560304877,0.002526755596
-45.0,-20.0,-10.0,-20.0,-0.056814427802,-0.014304952347,-0.039541993309,0.074528210971,0.017865574454,0.00196368196
-45.0,-20.0,-10.0,-10.0,-0.025399958871,-0.00837648713,-0.024168354849,0.040287729394,0.006711197696,0.001154240473
-45.0,-20.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-20.0,-10.0,10.0,-0.009089451192,0.013629042385,0.033817617754,-0.040342013847,-0.001768723502,-0.00192843699
-45.0,-20.0,-10.0,20.0,-0.026656369947,0.027536679508,0.066136896264,-0.074744083103,-0.00118773639,-0.004529699729
-45.0,-20.0,-10.0,30.0,-0.048975371424,0.040868026132,0.093926266736,-0.102327894806,0.000441657943,-0.007591584529
-45.0,-20.0,0.0,-30.0,-0.071610796074,-0.01995585171,0.022090521316,0.102355916807,0.015051406073,-0.00072806423
-45.0,-20.0,0.0,-20.0,-0.043416270199,-0.015585441646,0.01093380062,0.075093480595,0.005541036652,-9.0991162e-05
-45.0,-20.0,0.0,-10.0,-0.018207881849,-0.008925701429,0.002916150284,0.040701489627,0.000270355898,0.000190334446
-45.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-20.0,0.0,10.0,-0.016272963615,0.009869053693,0.007135395649,-0.040911851538,0.004584322367,-0.000678222217
-45.0,-20.0,0.0,20.0,-0.040071098706,0.019168288044,0.016376744233,-0.075845973649,0.010149256537,-0.001838622983
-45.0,-20.0,0.0,30.0,-0.067451096034,0.027191359385,0.025271193703,-0.103814414045,0.015290695581,-0.003212698103
-45.0,-20.0,10.0,-30.0,-0.05054065206,-0.028119133103,0.097077499433,0.098352930353,0.008495928122,0.00036359949
-45.0,-20.0,10.0,-20.0,-0.027955019207,-0.020475715691,0.066302617287,0.072057144507,0.001783885179,0.000504442033
-45.0,-20.0,10.0,-10.0,-0.009856002525,-0.010877899025,0.033117196077,0.039000447983,-0.001229391243,0.000347859157
-45.0,-20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-20.0,10.0,10.0,-0.024417240688,0.006590980768,-0.024061414371,-0.039061683276,0.005277855216,-2.933444e-05
-45.0,-20.0,10.0,20.0,-0.055118609652,0.011032449843,-0.042269729063,-0.072282086719,0.011004812062,0.000129400582
-45.0,-20.0,10.0,30.0,-0.087867720538,0.013181828628,-0.055997263622,-0.098758905841,0.016099497149,0.000582471227
-45.0,-20.0,20.0,-30.0,-0.020080658094,-0.040826594659,0.161161256871,0.091053361,0.006502837489,0.005691171172
-45.0,-20.0,20.0,-20.0,-0.005679637818,-0.029029256909,0.113423284406,0.066751855947,0.000272770841,0.004392423989
-45.0,-20.0,20.0,-10.0,0.002141854791,-0.0150178547,0.058726291024,0.036159067702,-0.002173016888,0.002405913326
-45.0,-20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-20.0,20.0,10.0,-0.035892111041,0.006365552401,-0.05068447727,-0.036234240643,0.006892901041,-0.001696788907
-45.0,-20.0,20.0,20.0,-0.076366124378,0.009214138409,-0.092270928174,-0.067051274063,0.014774932923,-0.002590647424
-45.0,-20.0,20.0,30.0,-0.116815224272,0.008736863073,-0.125217020124,-0.091604658481,0.022411167237,-0.0025745835
-45.0,-15.0,-20.0,-30.0,-0.105962244258,-0.008458625007,-0.124387704423,0.087635647514,0.057813737722,0.006963763208
-45.0,-15.0,-20.0,-20.0,-0.068626561896,-0.007266100009,-0.094181347299,0.063962381391,0.036946250445,0.004808425957
-45.0,-15.0,-20.0,-10.0,-0.031903872884,-0.004648848036,-0.052617707726,0.034496975131,0.017336548302,0.002514804198
-45.0,-15.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-15.0,-20.0,10.0,-0.001835427666,0.01386239658,0.058820739305,-0.034458135006,-0.013266122636,-0.003443485575
-45.0,-15.0,-20.0,20.0,-0.012504211874,0.029253959235,0.111521493412,-0.063800594378,-0.022433223613,-0.007598361707
-45.0,-15.0,-20.0,30.0,-0.028712176623,0.045262410276,0.15527250479,-0.087367243336,-0.02833350259,-0.012314711541
-45.0,-15.0,-10.0,-30.0,-0.085771081846,-0.010582937392,-0.061958178407,0.093351599428,0.031761435986,0.001784397614
-45.0,-15.0,-10.0,-20.0,-0.05384189174,-0.008485378238,-0.048975831668,0.068288888488,0.018744247941,0.001211206468
