# AeroScout
parameter,independent variables,3
parameter,coordinate_system,body
alpha[deg],beta[deg],elevator[deg],Cx,Cy,Cz,Cl,Cm,Cn
-20.0,-20.0,-30.0,-0.088716024809,-0.020056508578,0.591527574013,0.012466098358,1.397048574445,0.003526625893
-20.0,-20.0,-20.0,-0.037719409467,-0.013771858093,0.380445349807,0.008357252442,0.896796217636,0.002815426048
-20.0,-20.0,-10.0,-0.007062180103,-0.006285026857,0.168478583663,0.003849843844,0.396421847597,0.001429579773
-20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,-20.0,10.0,-0.019917038689,0.007697630073,-0.158245663829,-0.003908754106,-0.370871589071,-0.002205792591
-20.0,-20.0,20.0,-0.064528078385,0.016860122042,-0.334118012426,-0.008753073222,-0.781092495574,-0.005097954699
-20.0,-20.0,30.0,-0.126882366639,0.025376019346,-0.48307073336,-0.013415104549,-1.126376845471,-0.008047209583
-20.0,-10.0,-30.0,-0.061832994117,-0.010456323326,0.627674888873,0.006629651868,1.478825698004,0.001459970061
-20.0,-10.0,-20.0,-0.022122560056,-0.007476990694,0.392504121978,0.004449942294,0.921780141676,0.001372826729
-20.0,-10.0,-10.0,-0.000600630284,-0.003379026395,0.173626207419,0.002055162959,0.406920988719,0.000703292214
-20.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,-10.0,10.0,-0.025084532748,0.004068583867,-0.162687098914,-0.002093716163,-0.379590820796,-0.001116329078
-20.0,-10.0,20.0,-0.074459672779,0.008846330857,-0.343348851553,-0.00469758544,-0.798931446165,-0.00258917798
-20.0,-10.0,30.0,-0.139632496874,0.013176761881,-0.496261100749,-0.007209648325,-1.151470595677,-0.004079256457
-20.0,0.0,-30.0,-0.052242623842,-0.0,0.649403597597,-0.0,1.529861549497,0.0
-20.0,0.0,-20.0,-0.01717137512,-0.0,0.396977194661,-0.0,0.931275137979,0.0
-20.0,0.0,-10.0,0.001430999146,-0.0,0.175549048611,-0.0,0.410946153081,0.0
-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,0.0,10.0,-0.026692371709,0.0,-0.164258348164,-0.0,-0.382725112464,0.0
-20.0,0.0,20.0,-0.07749944584,0.0,-0.346448722612,-0.0,-0.804928155983,0.0
-20.0,0.0,30.0,-0.143335987882,-0.0,-0.500443431752,-0.0,-1.159266658158,0.0
-20.0,10.0,-30.0,-0.061832994117,0.010456323326,0.627674888873,-0.006629651868,1.478825698004,-0.001459970061
-20.0,10.0,-20.0,-0.022122560056,0.007476990694,0.392504121978,-0.004449942294,0.921780141676,-0.001372826729
-20.0,10.0,-10.0,-0.000600630284,0.003379026395,0.173626207419,-0.002055162959,0.406920988719,-0.000703292214
-20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,10.0,10.0,-0.025084532748,-0.004068583867,-0.162687098914,0.002093716163,-0.379590820796,0.001116329078
-20.0,10.0,20.0,-0.074459672779,-0.008846330857,-0.343348851553,0.00469758544,-0.798931446165,0.00258917798
-20.0,10.0,30.0,-0.139632496874,-0.013176761881,-0.496261100749,0.007209648325,-1.151470595677,0.004079256457
-20.0,20.0,-30.0,-0.088716024809,0.020056508578,0.591527574013,-0.012466098358,1.397048574445,-0.003526625893
-20.0,20.0,-20.0,-0.037719409467,0.013771858093,0.380445349807,-0.008357252442,0.896796217636,-0.002815426048
-20.0,20.0,-10.0,-0.007062180103,0.006285026857,0.168478583663,-0.003849843844,0.396421847597,-0.001429579773
-20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,20.0,10.0,-0.019917038689,-0.007697630073,-0.158245663829,0.003908754106,-0.370871589071,0.002205792591
-20.0,20.0,20.0,-0.064528078385,-0.016860122042,-0.334118012426,0.008753073222,-0.781092495574,0.005097954699
-20.0,20.0,30.0,-0.126882366639,-0.025376019346,-0.48307073336,0.013415104549,-1.126376845471,0.008047209583
-15.0,-20.0,-30.0,-0.103704558403,-0.022348730817,0.542353399155,0.013145363712,1.280032258324,0.005738527893
-15.0,-20.0,-20.0,-0.047531942635,-0.015252656592,0.353822374458,0.00877540307,0.834028367921,0.004241421667
-15.0,-20.0,-10.0,-0.011456378896,-0.007027421778,0.157903793881,0.004021931172,0.371706246472,0.002095883309
-15.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-15.0,-20.0,10.0,-0.015482561754,0.008747299148,-0.150602806708,-0.004061041336,-0.35346929892,-0.002968191019
