# Aircraft: Aeroscout
# Date Generated: 2025-03-24 12:10:24
# Reference Area (ft^2): 2.265625
# Longitudinal Reference Length (ft): 0.6259
# Lateral Reference Length (ft): 3.625
parameter,independent_variables,2
parameter,coordinate_system,body

beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-20.0,-20.0,0.286551753710051,0.208773883685502,1.33760257926529,0.0722711541395163,0.352180566974687,-0.0479139622459177
-20.0,-15.0,0.150711238561772,0.209650901235869,0.933329948569026,0.0598401311480701,0.272285747861722,-0.0397503292936828
-20.0,-10.0,0.0619982801528824,0.210735954776145,0.53473590164879,0.0452688035221267,0.185168237530312,-0.0336145578603092
-20.0,-5.0,0.013543135281675,0.204710332507643,0.155717197486925,0.0294122269818915,0.133367498141246,-0.027812214129459
-20.0,0.0,0.00393294147854438,0.192403519482366,-0.212015377262682,0.0150567256133298,0.104944987226648,-0.0224318040496388
-20.0,5.0,0.0332836028087106,0.176316140703346,-0.619478368711101,-0.00270060332397951,0.0400022774396716,-0.0196288523973097
-20.0,10.0,0.104872230779012,0.165122882499933,-1.05360746527697,-0.0231794173238152,-0.107010031392904,-0.0227884838717029
-20.0,15.0,0.22656002688391,0.156668125421701,-1.49926837840923,-0.0425204063225222,-0.291703634851443,-0.0316001422974434
-20.0,20.0,0.398285360933934,0.147833359439623,-1.94207245242653,-0.0580221000877164,-0.495917014232275,-0.043499816676701
-10.0,-20.0,0.305697720515169,0.101375932374275,1.40762585946007,0.0382967648251735,0.349332127600607,-0.025303514262958
-10.0,-15.0,0.154954132716966,0.102663839355972,0.999676194941281,0.0322993521685183,0.299696456113493,-0.0210804745489712
-10.0,-10.0,0.0549707504360147,0.103290658048782,0.593610317565136,0.0251646619072144,0.246424763410507,-0.0178659543883711
-10.0,-5.0,-0.00152462954495147,0.0990504253049276,0.183657146198132,0.0165350933095744,0.177394062819709,-0.0140606263954949
-10.0,0.0,-0.0118280717231167,0.0877032837983696,-0.21569186896822,0.00738372539345434,0.128326638896066,-0.00882996055014636
-10.0,5.0,0.0233092045132051,0.0776220190314167,-0.629578421783596,-0.00293711750770152,0.0441387762988288,-0.00643021963700775
-10.0,10.0,0.10560361548026,0.0772062572053665,-1.0671886413084,-0.0127253810806592,-0.113038887288837,-0.0105809845673183
-10.0,15.0,0.239076791046906,0.0763239054210226,-1.50957573312213,-0.0214792310597394,-0.299656666064002,-0.0167498809141522
-10.0,20.0,0.423886801888876,0.0713958271219577,-1.95077560577966,-0.0286939571401979,-0.508639396125179,-0.0226441557534753
0.0,-20.0,0.311577910072454,4.96821512840331e-17,1.42983907889797,-2.14949587727676e-16,0.346656457821792,1.88487460203173e-17
0.0,-15.0,0.155640351542203,4.97704526969254e-17,1.01950136257408,7.51372970590536e-17,0.301244524902993,2.58863329188274e-19
0.0,-10.0,0.05123883147976,5.04045680477527e-18,0.606992464365129,2.13333683348112e-17,0.248635132975389,7.11668687334841e-18
0.0,-5.0,-0.00725749716741232,5.57124899604173e-18,0.194197762305363,-3.2795411695845e-17,0.188647821212116,-6.53501963562423e-18
0.0,0.0,-0.017302990575052,-6.55552536264284e-17,-0.2251401122291,5.9656582533558e-18,0.104192417182665,2.95936726172333e-17
0.0,5.0,0.0200979201559862,4.15359099217231e-17,-0.650985235128264,1.05599805317984e-16,-0.00796014161553953,-2.21788529199045e-17
0.0,10.0,0.106350153624465,4.99091170955939e-17,-1.08253742123382,-4.77525510132604e-17,-0.149372489252739,-1.37319663917974e-17
0.0,15.0,0.243127895390086,-6.41203236296933e-17,-1.51846661569433,-1.97603812841651e-16,-0.320729050096197,-1.63984184550578e-17
0.0,20.0,0.431864314302976,3.28620804149484e-17,-1.95704522379991,-1.36477345185476e-16,-0.521807224480724,-8.67633851710626e-19
10.0,-20.0,0.305697720515168,-0.101375932374275,1.40762585946007,-0.0382967648251739,0.349332127600606,0.025303514262958
10.0,-15.0,0.154954132716966,-0.102663839355972,0.99967619494128,-0.0322993521685181,0.299696456113493,0.0210804745489711
10.0,-10.0,0.0549707504360147,-0.103290658048782,0.593610317565136,-0.0251646619072146,0.246424763410508,0.017865954388371
10.0,-5.0,-0.00152462954495147,-0.0990504253049277,0.183657146198132,-0.0165350933095744,0.177394062819709,0.0140606263954949
10.0,0.0,-0.0118280717231168,-0.0877032837983698,-0.215691868968219,-0.00738372539345432,0.128326638896066,0.00882996055014637
10.0,5.0,0.023309204513205,-0.0776220190314167,-0.629578421783596,0.00293711750770164,0.0441387762988286,0.00643021963700769
10.0,10.0,0.10560361548026,-0.0772062572053664,-1.0671886413084,0.0127253810806592,-0.113038887288837,0.0105809845673184
10.0,15.0,0.239076791046906,-0.0763239054210228,-1.50957573312213,0.0214792310597392,-0.299656666064002,0.0167498809141523
10.0,20.0,0.423886801888875,-0.0713958271219576,-1.95077560577965,0.0286939571401977,-0.508639396125177,0.022644155753475
20.0,-20.0,0.286551753710051,-0.208773883685501,1.33760257926529,-0.0722711541395167,0.35218056697469,0.0479139622459175
20.0,-15.0,0.150711238561773,-0.20965090123587,0.933329948569027,-0.0598401311480701,0.272285747861722,0.0397503292936833
20.0,-10.0,0.0619982801528824,-0.210735954776145,0.534735901648791,-0.0452688035221267,0.185168237530312,0.0336145578603091
20.0,-5.0,0.013543135281675,-0.204710332507643,0.155717197486925,-0.0294122269818915,0.133367498141246,0.027812214129459
20.0,0.0,0.00393294147854467,-0.192403519482366,-0.21201537726269,-0.0150567256133288,0.104944987226647,0.0224318040496386
20.0,5.0,0.0332836028087153,-0.176316140703344,-0.619478368711127,0.00270060332398279,0.0400022774396726,0.01962885239731
20.0,10.0,0.104872230779016,-0.165122882499932,-1.05360746527699,0.0231794173238171,-0.107010031392904,0.0227884838717029
20.0,15.0,0.22656002688391,-0.156668125421702,-1.49926837840923,0.0425204063225219,-0.291703634851442,0.0316001422974435
20.0,20.0,0.398285360933932,-0.147833359439621,-1.94207245242653,0.0580221000877161,-0.495917014232264,0.0434998166767002
