# Aircraft: Aeroscout
# Date Generated: 2025-03-24 12:12:58
# Reference Area (ft^2): 2.265625
# Longitudinal Reference Length (ft): 0.6259
# Lateral Reference Length (ft): 3.625
parameter,independent_variables,3
parameter,coordinate_system,body

rudder[deg],beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-25.0,10.0,-20.0,-0.013708776317546023,-0.059957906192906,8.74696748600634e-05,-0.0034463033254807027,0.005495216523693003,0.028595179360111304
-25.0,10.0,-15.0,-0.013412012833000003,-0.061869262985701015,-0.0009176852818629788,-0.0032258838127889045,0.0029241778939450014,0.0295485686563291
-25.0,10.0,-10.0,-0.0134745233436954,-0.06236392970487599,-0.001464946397398026,-0.0030731717851095984,0.0016637440829779804,0.0299108673643214
-25.0,10.0,-5.0,-0.01327026381622003,-0.06150178448398129,-0.0013144290438790174,-0.002968282039102998,0.0022778942130080027,0.0297054913979361
-25.0,10.0,0.0,-0.013838960369780799,-0.05888311404931319,-0.0005078214201909848,-0.00284973865852378,0.004719112129632996,0.028679252744770227
-25.0,10.0,5.0,-0.01441379950868855,-0.05575788521823029,0.0003581202779600057,-0.0027712612584199726,0.007456069832725003,0.02742470639316081
-25.0,10.0,10.0,-0.014923312208809894,-0.053194064056518595,0.0010865850022299117,-0.0027463230614941103,0.009889006793713004,0.026430147279560896
-25.0,10.0,15.0,-0.01561596695519299,-0.049979529895523206,0.0014147772522599134,-0.002656980766228303,0.011323850824343007,0.0251131892336048
-25.0,10.0,20.0,-0.01601049429672302,-0.04573376529114839,0.0016170424591899213,-0.0024981044783040987,0.012249916809198957,0.0232935269908422
-25.0,20.0,-20.0,-0.01479948288326599,-0.06542734906358696,-0.00025190778201999997,-0.0039554993181911,0.004608224579082998,0.0310774946704271
-25.0,20.0,-15.0,-0.014160423464361,-0.06739654324337802,-0.0021490102686519963,-0.003717131710181204,-0.00026368438425200535,0.0320798348963211
-25.0,20.0,-10.0,-0.013822890720061598,-0.06814024943531496,-0.003967186360182007,-0.0035508548165609985,-0.004661883743286993,0.0325804157301386
-25.0,20.0,-5.0,-0.01393936538017578,-0.06720416802493098,-0.004150824520815,-0.0033812916824011024,-0.004748122101208979,0.032330068467329
-25.0,20.0,0.0,-0.01511150395816007,-0.065277273462223,-0.002885973159160976,-0.003341080739245701,-0.0008389138960420012,0.031542713882510405
-25.0,20.0,5.0,-0.016328844350026198,-0.063282980795482,-0.0015670492464069374,-0.003352472151020751,0.003644728747094199,0.0307383645920108
-25.0,20.0,10.0,-0.017137562727325098,-0.060803850262934,0.00024420045383011235,-0.0033490695288509002,0.009269829733317109,0.029793592612287003
-25.0,20.0,15.0,-0.018017158544502004,-0.058278566060605996,0.0011151690791799673,-0.0032819717598746995,0.01249265041951303,0.0288111738807316
-25.0,20.0,20.0,-0.018987522330593032,-0.055037060154904005,0.002035002433349975,-0.003189137552397997,0.015695262770188956,0.027459562373611503
-16.666666666666664,-20.0,-20.0,-0.0058750806262309885,-0.04301360255957001,0.0028814420240101946,-0.002599656173770712,0.010529512924515982,0.020394116146024
-16.666666666666664,-20.0,-15.0,-0.0065218678774609795,-0.04431494417846199,0.003870448902903001,-0.0024096215869199022,0.013148183406624991,0.0210562480206972
-16.666666666666664,-20.0,-10.0,-0.0068936626376781,-0.04466256001192001,0.004869155451600937,-0.0022669112729174976,0.015602440512194005,0.0213275015105127
-16.666666666666664,-20.0,-5.0,-0.006999220750665931,-0.04375076272206099,0.005020713881646988,-0.0021211607408913973,0.015795095061997,0.0210412155604557
-16.666666666666664,-20.0,0.0,-0.00622737223485527,-0.042497490695237006,0.004101243197702997,-0.0020769897158243993,0.013015455114410004,0.02053592452263709
-16.666666666666664,-20.0,5.0,-0.0054021179096025995,-0.04106949005369201,0.0031866134846439964,-0.0020762666400209,0.009961888730392297,0.019963247270411943
-16.666666666666664,-20.0,10.0,-0.0047821976582730075,-0.039327347431257015,0.0017768573087000306,-0.0020650789896841,0.0057049814470680055,0.01930642794807216
-16.666666666666664,-20.0,15.0,-0.003896787136002,-0.037570348400293996,0.0009416191780700078,-0.0020073831014070995,0.002877491832494028,0.0186280887962275
-16.666666666666664,-20.0,20.0,-0.003044645836868032,-0.03525406418541001,1.1016478050018819e-05,-0.0019365835123310027,-0.00011761497742596161,0.017664484240754397
-16.666666666666664,-10.0,-20.0,-0.0066325596979600054,-0.0415162161180366,0.0021421891128301507,-0.0023753683503925024,0.008657924169837017,0.019706858320699478
-16.666666666666664,-10.0,-15.0,-0.006967289083322004,-0.0427776575803258,0.0025178281481089693,-0.0022071249786204984,0.00968318172590199,0.02033805565432301
-16.666666666666664,-10.0,-10.0,-0.007066724589925605,-0.0430408935310975,0.002818814072065967,-0.0020842709397878995,0.010426533100687974,0.020554853794946808
-16.666666666666664,-10.0,-5.0,-0.007301098131287821,-0.0424427070356428,0.0027786129415350025,-0.0019966208273612014,0.010214499053690013,0.02041617041176931
-16.666666666666664,-10.0,0.0,-0.007081463471060602,-0.040536334847758,0.002300449271718019,-0.0019070767216820004,0.008809729742608019,0.019670133095460958
-16.666666666666664,-10.0,5.0,-0.0067186095856561,-0.038294686357630406,0.0017728210560110647,-0.0018493713928387301,0.007158330892070901,0.01877352851987785
