# Aircraft: Aeroscout
# Date Generated: 2025-03-24 12:18:54
# Reference Area (ft^2): 2.265625
# Longitudinal Reference Length (ft): 0.6259
# Lateral Reference Length (ft): 3.625
parameter,independent_variables,2
parameter,coordinate_system,body

rbar,alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-0.012653637076958888,-20.0,1.6362965714000755e-05,-0.0015544989387862597,6.726668096002086e-05,0.0037717097305850953,-1.4455771176979937e-05,0.0007183956571957122
-0.012653637076958888,-15.0,1.5476141513010022e-05,-0.0016627270858416599,4.43834803798282e-05,0.002695001699705375,-1.6793818058025156e-05,0.0010529038287715297
-0.012653637076958888,-10.0,1.3890029650000246e-05,-0.001654764064627075,1.9790976959033202e-05,0.0014252649644260187,-1.6859646103012382e-05,0.001245224566185483
-0.012653637076958888,-5.0,1.7336240090900026e-05,-0.0020661479194726256,1.8957626269910932e-06,2.2469227112175394e-05,7.628136195980684e-06,0.0015032961287146966
-0.012653637076958888,0.0,1.0654184736100247e-05,-0.0007066326606410434,-0.00010481088742500533,-0.0014012181478447962,7.587351562698963e-05,0.0008293634808414464
-0.012653637076958888,5.0,1.7385907206398515e-05,-0.0024985299422663515,-6.919224640000721e-05,-0.0030142660994026153,-2.3727751164430433e-05,0.0014098400242613621
-0.012653637076958888,10.0,1.6439191423009425e-05,-0.0022485469457224597,-8.852190927011172e-05,-0.0044484748294495325,1.46230892700272e-06,0.0009366239271427948
-0.012653637076958888,15.0,1.6244493156986062e-05,-0.0021199806349993756,-0.00011209893486996414,-0.005689637147447153,1.24236275539924e-05,0.00039033795583156135
-0.012653637076958888,20.0,2.197847150697818e-05,-0.002335291049384573,-0.0001394097529698879,-0.006746568128183064,8.695214840370724e-07,-7.131845491317753e-05
-0.009490227807719166,-20.0,9.203586139983067e-06,-0.0011657112137199097,3.783690646996796e-05,0.002828798773249895,-8.13221306200651e-06,0.0005387219656756261
-0.009490227807719166,-15.0,8.70757094700858e-06,-0.0012467971449342898,2.498513264992397e-05,0.0020212667356167948,-9.398144608041559e-06,0.0007895645716785168
-0.009490227807719166,-10.0,7.805131137898769e-06,-0.001238331855366125,1.1140662374953259e-05,0.0010691090918400787,-9.461944010996648e-06,0.0009327173823730088
-0.009490227807719166,-5.0,9.749501717850294e-06,-0.0015544367435694757,9.612830679794904e-07,1.6791090736129794e-05,4.023530925989505e-06,0.0011295752000053164
-0.009490227807719166,0.0,2.221548811650112e-05,-0.00045920638717148046,-0.0002975963332520204,-0.0010471780202041862,0.0002674674994579962,0.0005904932209579144
-0.009490227807719166,5.0,9.851695030298896e-06,-0.0018804004864754716,-3.8931434206967985e-05,-0.002260398987907685,-1.3386430730099805e-05,0.0010601869430208722
-0.009490227807719166,10.0,9.225059763001697e-06,-0.0016844327286938399,-4.9536637810154716e-05,-0.0033364478338893523,1.48857381798706e-06,0.0007016093941590498
-0.009490227807719166,15.0,9.069491007984709e-06,-0.0015873910751516658,-6.283802330986354e-05,-0.004266977798821612,7.582001006034567e-06,0.00029156575173236237
-0.009490227807719166,20.0,1.2358455833971771e-05,-0.001751075638752983,-7.841036684985703e-05,-0.0050598729046395135,5.04353648067557e-07,-5.366315078038433e-05
-0.006326818538479444,-20.0,4.090297811010224e-06,-0.0007770632171500446,1.681621050009241e-05,0.0018858736953938648,-3.6145877039817087e-06,0.00035911237820850713
-0.006326818538479444,-15.0,3.870578671016922e-06,-0.0008310734343319158,1.1110356009869093e-05,0.0013475185312541648,-4.162359894033241e-06,0.0005263195687145848
-0.006326818538479444,-10.0,3.4663276011967503e-06,-0.00082420348624793,4.954125696010614e-06,0.0007128183018370686,-4.198182329995248e-06,0.0006212197026328808
-0.006326818538479444,-5.0,4.3074883103203995e-06,-0.0010389285045204356,2.9042274898860576e-07,1.1157055171635195e-05,1.4449124249860112e-06,0.0007541976857788625
-0.006326818538479444,0.0,1.423632393013352e-07,0.0002762537834294115,2.9106385878996388e-05,-0.000666565280619019,-3.519870348001053e-05,0.0001332583491671994
-0.006326818538479444,5.0,4.472265399797781e-06,-0.0012680050391204317,-1.7294408470980294e-05,-0.0015069024030494556,-5.976129368730557e-06,0.0007131301078003422
-0.006326818538479444,10.0,4.0812939079981625e-06,-0.0011217425742751398,-2.1793940240044662e-05,-0.002224359948955042,1.237916890994839e-06,0.0004672129189447977
-0.006326818538479444,15.0,3.9924163670046475e-06,-0.0010560742597722557,-2.77801866199745e-05,-0.0028444537929472624,3.7844797119990226e-06,0.0001933754444781584
-0.006326818538479444,20.0,5.492532174022902e-06,-0.001167186446671533,-3.485168535988237e-05,-0.0033732232412753034,2.166562140804018e-07,-3.586299111590313e-05
-0.003163409269239722,-20.0,1.0225467009794542e-06,-0.00038850833554531866,4.20402362988348e-06,0.000942939201899863,-9.036879080048799e-07,0.00017954551132356417
-0.003163409269239722,-15.0,9.676960550097924e-07,-0.00041549779134700574,2.778379649903684e-06,0.0006737614803693509,-1.0386141730545084e-06,0.0002631420673728277
-0.003163409269239722,-10.0,8.661810627016986e-07,-0.00041168693005591203,1.2389503649679057e-06,0.00035643335001614163,-1.0484489419981813e-06,0.0003104281464556509
-0.003163409269239722,-5.0,1.0566049181096743e-06,-0.0005216903610126595,-4.1712778009461715e-08,5.535936440344546e-06,7.50779579894445e-08,0.00037806553189515755
-0.003163409269239722,0.0,1.2755867669009269e-06,0.00018246931723157057,-1.0249445297011439e-05,-0.00033098166045321197,6.668098332995864e-06,4.6802768926357906e-05
-0.003163409269239722,5.0,1.1988939092981432e-06,-0.0006600331065784475,-4.301616782997897e-06,-0.0007537000148987025,-1.4961508830908798e-06,0.0003680751938009942
-0.003163409269239722,10.0,1.0130525620044573e-06,-0.0005633453293164099,-5.284080420109305e-06,-0.0011123123421938723,7.340158609814296e-07,0.00023472404251870274
-0.003163409269239722,15.0,9.72701325985259e-07,-0.000524951778864662,-6.81108773004091e-06,-0.0014219764476197424,1.3153027529910766e-06,9.52749464449726e-05
-0.003163409269239722,20.0,1.3733767009749265e-06,-0.0005835312610897479,-8.714312009994174e-06,-0.0016866040056111437,5.0614838986717814e-08,-1.7958982397087134e-05
0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003163409269239722,-20.0,1.0225467009794542e-06,0.00038850833554510334,4.20402362988348e-06,-0.0009429392018996411,-9.036879100032813e-07,-0.00017954551132361483
0.003163409269239722,-15.0,9.676960560089931e-07,0.00041549779134687623,2.778379649903684e-06,-0.0006737614803696861,-1.0386141719997966e-06,-0.00026314206737278125
0.003163409269239722,-10.0,8.661810627016986e-07,0.00041168693005594597,1.238950363968705e-06,-0.00035643335001613535,-1.0484489419981813e-06,-0.0003104281464556841
0.003163409269239722,-5.0,1.056604918089725e-06,0.0005216903610126504,-4.1712778009461715e-08,-5.5359364402685745e-06,7.50779579894445e-08,-0.0003780655318951404
0.003163409269239722,0.0,1.2755867669009269e-06,-0.00018246931723148144,-1.0249445297011439e-05,0.00033098166045325805,6.668098332995864e-06,-4.680276892639339e-05
0.003163409269239722,5.0,1.1988939092981432e-06,0.0006600331065783075,-4.301616780999495e-06,0.0007537000148983874,-1.4961508833111897e-06,-0.00036807519380092983
0.003163409269239722,10.0,1.0130525620044573e-06,0.0005633453293162321,-5.284080420109305e-06,0.0011123123421936778,7.340158609814296e-07,-0.00023472404251868227
0.003163409269239722,15.0,9.72701325985259e-07,0.0005249517788648931,-6.81108773004091e-06,0.0014219764476205775,1.3153027519918759e-06,-9.52749464449338e-05
0.003163409269239722,20.0,1.3733767009749265e-06,0.0005835312610896481,-8.714312009994174e-06,0.0016866040056115164,5.061483798751709e-08,1.7958982397121466e-05
0.006326818538479444,-20.0,4.090297811010224e-06,0.0007770632171499453,1.681621050009241e-05,-0.0018858736953931451,-3.61458770598011e-06,-0.00035911237820858085
0.006326818538479444,-15.0,3.870578671016922e-06,0.0008310734343319162,1.1110356009869093e-05,-0.0013475185312544452,-4.162359895032441e-06,-0.0005263195687146022
0.006326818538479444,-10.0,3.4663276011967503e-06,0.00082420348624787,4.954125697009815e-06,-0.0007128183018370774,-4.198182328996047e-06,-0.0006212197026328731
0.006326818538479444,-5.0,4.3074883103203995e-06,0.0010389285045204343,2.9042274898860576e-07,-1.1157055171602804e-05,1.4449124249860112e-06,-0.0007541976857788555
0.006326818538479444,0.0,1.423632393013352e-07,-0.00027625378342929546,2.9106385878996388e-05,0.000666565280618993,-3.519870348100973e-05,-0.0001332583491672526
0.006326818538479444,5.0,4.472265399797781e-06,0.0012680050391202884,-1.7294408471979494e-05,0.0015069024030490844,-5.97612936870974e-06,-0.0007131301078002858
0.006326818538479444,10.0,4.0812939079981625e-06,0.0011217425742750002,-2.1793940230052655e-05,0.0022243599489549775,1.237916890994839e-06,-0.0004672129189447893
0.006326818538479444,15.0,3.9924163670046475e-06,0.0010560742597723342,-2.77801866199745e-05,0.002844453792947478,3.7844797119990226e-06,-0.0001933754444782016
0.006326818538479444,20.0,5.492532174022902e-06,0.0011671864466712071,-3.485168534989036e-05,0.0033732232412751967,2.166562130812011e-07,3.586299111586397e-05
0.009490227807719166,-20.0,9.203586139983067e-06,0.0011657112137197804,3.783690646996796e-05,-0.002828798773249605,-8.132213059008908e-06,-0.0005387219656756419
0.009490227807719166,-15.0,8.70757094700858e-06,0.0012467971449341602,2.498513264992397e-05,-0.002021266735617005,-9.39814460904076e-06,-0.0007895645716784862
0.009490227807719166,-10.0,7.805131137898769e-06,0.001238331855366135,1.1140662373954058e-05,-0.0010691090918399713,-9.46194401299505e-06,-0.0009327173823730451
0.009490227807719166,-5.0,9.749501717850294e-06,0.0015544367435694944,9.612830669802896e-07,-1.6791090736074808e-05,4.023530925989505e-06,-0.0011295752000053136
0.009490227807719166,0.0,2.2215488116400506e-05,0.0004592063871706875,-0.0002975963332510212,0.001047178020204284,0.000267467499456997,-0.0005904932209575536
0.009490227807719166,5.0,9.851695030298896e-06,0.0018804004864753684,-3.8931434205968785e-05,0.002260398987907495,-1.3386430730510934e-05,-0.001060186943020828
0.009490227807719166,10.0,9.225059764000898e-06,0.0016844327286937501,-4.9536637810154716e-05,0.0033364478338896277,1.4885738189862607e-06,-0.0007016093941590702
0.009490227807719166,15.0,9.069491007984709e-06,0.0015873910751518343,-6.283802330986354e-05,0.004266977798822087,7.582001004036165e-06,-0.0002915657517323546
0.009490227807719166,20.0,1.235845583297257e-05,0.001751075638752757,-7.841036684985703e-05,0.005059872904639116,5.043536460691556e-07,5.3663150780303266e-05
0.012653637076958888,-20.0,1.6362965714000755e-05,0.0015544989387862404,6.726668096002086e-05,-0.003771709730584355,-1.4455771178978338e-05,-0.0007183956571957698
0.012653637076958888,-15.0,1.5476141513010022e-05,0.0016627270858417002,4.43834803798282e-05,-0.002695001699705255,-1.6793818058025156e-05,-0.0010529038287715703
0.012653637076958888,-10.0,1.3890029649896163e-05,0.0016547640646283751,1.9790976958034e-05,-0.0014252649644258613,-1.6859646103012382e-05,-0.0012452245661860872
0.012653637076958888,-5.0,1.7336240090889618e-05,0.002066147919472654,1.8957626269910932e-06,-2.2469227112113507e-05,7.6281361969798844e-06,-0.0015032961287147035
0.012653637076958888,0.0,1.0654184736100247e-05,0.0007066326606413406,-0.00010481088742400613,0.0014012181478447639,7.587351562698963e-05,-0.0008293634808415756
0.012653637076958888,5.0,1.7385907206398515e-05,0.0024985299422661685,-6.919224640200561e-05,0.0030142660994022844,-2.3727751164310737e-05,-0.001409840024261288
0.012653637076958888,10.0,1.6439191423009425e-05,0.0022485469457230903,-8.852190927011172e-05,0.004448474829449238,1.4623089280019208e-06,-0.0009366239271431352
0.012653637076958888,15.0,1.6244493156986062e-05,0.0021199806349995543,-0.00011209893486996414,0.005689637147447628,1.24236275529932e-05,-0.0003903379558315036
0.012653637076958888,20.0,2.197847150697818e-05,0.002335291049384587,-0.0001394097529698879,0.006746568128183696,8.695214850362731e-07,7.131845491317467e-05
