# Aircraft: Aeroscout
# Date Generated: 2025-03-24 12:18:13
# Reference Area (ft^2): 2.265625
# Longitudinal Reference Length (ft): 0.6259
# Lateral Reference Length (ft): 3.625
parameter,independent_variables,3
parameter,coordinate_system,body

aileron[deg],beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-10.0,0.0,15.0,-0.021831504326025014,0.017970235017802563,-0.0048868950484199924,0.0696101825137393,0.010552969024815007,-0.0023134512379163535
-10.0,0.0,20.0,-0.021652785609276026,0.01625694862641917,-0.006668483449569829,0.07159940690613883,0.010604265888874975,0.00043302589820410487
-10.0,10.0,-20.0,-0.019008145580958036,0.0005393560961449995,0.0020031524267301037,0.0648610508044179,-0.04522472117290699,-0.006313298056802599
-10.0,10.0,-15.0,-0.020270160434874007,-0.0018301692051030105,-0.0022613669492700383,0.0631737273306676,-0.056867374579520985,-0.0040300556444413
-10.0,10.0,-10.0,-0.021496075755779304,-0.0010682091204379934,-0.0074650778240220594,0.0619993056144572,-0.068484747718971,-0.002886061559480799
-10.0,10.0,-5.0,-0.02311540746887573,0.005291245232909303,-0.0025929597944560068,0.0618573298646431,-0.05369714660712399,-0.004392322735727391
-10.0,10.0,0.0,-0.0253579897932246,0.012173291328266292,0.0007105830089710052,0.06265704008147673,-0.04171502067852989,-0.00619362603065454
-10.0,10.0,5.0,-0.02738850837673311,0.016900054727335204,0.0029599484193080228,0.06401786354959667,-0.031781120900383694,-0.007066318105809448
-10.0,10.0,10.0,-0.02881526642794839,0.016529292369694408,0.004227316859930053,0.0654798705743297,-0.022651663665655006,-0.005517170093645151
-10.0,10.0,15.0,-0.030083302611718987,0.014847446427562194,0.0043167882160599635,0.0672623553924348,-0.015069520991907004,-0.0031848243614971006
-10.0,10.0,20.0,-0.031410747502913006,0.013604801907419709,0.0033186227852100014,0.06957459856962661,-0.008937950787937021,-0.0008078052231292009
-10.0,20.0,-20.0,-0.013196497717308964,-0.0025900733761959893,0.005047113543070081,0.05922917765153479,-0.07634742824159202,-0.0040065459688335
-10.0,20.0,-15.0,-0.015830718797513993,-0.0049628398248300065,-0.0006255327054899285,0.05691680992162421,-0.095098679817199,-0.0025122996993934
-10.0,20.0,-10.0,-0.0177278164050605,-0.004397943330818999,-0.008911446502490983,0.055350102703675796,-0.1175767574449949,-0.0018603625701856946
-10.0,20.0,-5.0,-0.02144036685012965,0.0007883331475840027,0.0013850745787140073,0.0548839019459731,-0.09186922427317828,-0.0037690616818361992
-10.0,20.0,0.0,-0.026467177417111673,0.006296410972332994,0.009188020998111002,0.0554342057500701,-0.0697573867351663,-0.005898936147352898
-10.0,20.0,5.0,-0.03134064719976825,0.009442511098751993,0.01614925486272001,0.05652552984910091,-0.0512552007768644,-0.007017708267526299
-10.0,20.0,10.0,-0.03495211706430121,0.009506376105690023,0.019490612133350016,0.0581645309724868,-0.037260672095923,-0.006471417932605698
-10.0,20.0,15.0,-0.03843343322177001,0.009187026659490005,0.02003500425704008,0.0605469013701131,-0.02634224694369397,-0.005475566289810899
-10.0,20.0,20.0,-0.04202876981827003,0.00919623600581701,0.018509415150270048,0.0637221730392909,-0.017315764178368,-0.004259830223869297
-6.666666666666666,-20.0,-20.0,-0.016492817682696004,0.004246126984153997,0.00512123723682012,0.04032531269976569,0.06243815984234097,-0.0026944910130480976
-6.666666666666666,-20.0,-15.0,-0.014438392439318992,0.0031409695924270176,0.0070404832025150466,0.0387554651688134,0.075208003186779,-0.001695358064102398
-6.666666666666666,-20.0,-10.0,-0.012977239997517098,0.003734528360845979,0.010862106100136937,0.037675867293747806,0.09141129844281701,-0.0012605208503624968
-6.666666666666666,-20.0,-5.0,-0.011042820407634431,0.006818120510902997,0.0012541173724859855,0.037186926656694305,0.072405324087919,-0.002475176563142799
-6.666666666666666,-20.0,0.0,-0.00817262481764393,0.010322885584064995,-0.005674084071345009,0.037497670324538296,0.05836920215911101,-0.003832969863629302
-6.666666666666666,-20.0,5.0,-0.005194214604621002,0.012385731337160005,-0.012204609945561051,0.03815233923893161,0.046424343320866195,-0.004608514897228799
-6.666666666666666,-20.0,10.0,-0.002929758561107998,0.012328789126788003,-0.016410051570549866,0.0391582214891973,0.03735423766880101,-0.0042628614612685994
-6.666666666666666,-20.0,15.0,-0.0005536040669349984,0.011937300120294009,-0.018836598265379978,0.04065167145747268,0.03023337093392403,-0.003603178779506701
-6.666666666666666,-20.0,20.0,0.001875595888186976,0.011798113576993008,-0.019930168980349938,0.0426758684005562,0.024348946286402995,-0.0028315846539994013
-6.666666666666666,-10.0,-20.0,-0.013400039384571016,0.0033502254743729976,0.0074611920347600336,0.04367177295245749,0.04190152206550901,-0.004213266786091501
-6.666666666666666,-10.0,-15.0,-0.012539053225761015,0.001848995980620008,0.00825460208781903,0.042525922437003094,0.049901359244620025,-0.0026388489917714003
-6.666666666666666,-10.0,-10.0,-0.011650133520014101,0.002293578147144995,0.009580709618547956,0.0417130499757792,0.05790747214389297,-0.001796337215614601
-6.666666666666666,-10.0,-5.0,-0.01110063244742093,0.0065254675947964,0.0041286963335399884,0.0415706287788077,0.047906933089811005,-0.0028072414266108008
