# Aircraft: RC BIRE
# Date Generated: 2025-04-30 14:43:18
# Ventral Fins: False
# BIRE Angle Range: -45 to 45 deg
# Reference Area (ft^2): 2.98
# Longitudinal Reference Length (ft): 1.097
# Lateral Reference Length (ft): 3
parameter,independent_variables,4
parameter,coordinate_system,body

BIRE[deg],elevator[deg],beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-45.0,-10.0,-20.0,-15.0,-0.021395102574582193,0.06478715505309596,0.06558487482906095,-0.0022255452262501,0.09418725530281802,-0.03505448164296901
-45.0,-10.0,-20.0,-10.0,-0.0205936514931859,0.060052290052322044,0.05969775019297208,-0.003222329345593281,0.08612465791450702,-0.032239103653265905
-45.0,-10.0,-20.0,-5.0,-0.019423651396046102,0.056968069415859024,0.054535263480777973,-0.004457309383646701,0.07862633457708304,-0.030434916593524007
-45.0,-10.0,-20.0,0.0,-0.017946760141139502,0.055411035036207035,0.049904725955714095,-0.005866004509708499,0.07132704398795099,-0.029583880143983006
-45.0,-10.0,-20.0,5.0,-0.015780356738353696,0.055132375139469,0.04600678689521301,-0.007273813609211803,0.0644678511420389,-0.029564705899136394
-45.0,-10.0,-20.0,10.0,-0.014903302946320243,0.057189722230022,0.046864857545935945,-0.007414772271433601,0.0652849196926893,-0.0307492630107144
-45.0,-10.0,-20.0,15.0,-0.0152107849481402,0.059613681556517,0.05053887771949206,-0.007057066373396398,0.070478779749258,-0.0319332556989788
-45.0,-10.0,-20.0,20.0,-0.014875566445189212,0.059068433246990015,0.0483688917584999,-0.0080227427244861,0.0663405873012391,-0.031523609272399604
-45.0,-10.0,-10.0,-20.0,-0.01990837249208699,0.05916845221933198,0.06259985582035998,0.0015385082817001702,0.08729450648704301,-0.032808733524075095
-45.0,-10.0,-10.0,-15.0,-0.0190871062588404,0.054178694251257986,0.05710126587756592,0.0007516070808273106,0.080354921010136,-0.029836756345950288
-45.0,-10.0,-10.0,-10.0,-0.01793373110575171,0.050668446519118004,0.052984464209130056,-0.00027541922469483983,0.075174232351056,-0.027719896633399695
-45.0,-10.0,-10.0,-5.0,-0.0165648660553397,0.048880390175418995,0.0498799761948,-0.001478861823906789,0.07109482152902179,-0.026603076399719705
-45.0,-10.0,-10.0,0.0,-0.015201411407755896,0.048973180664921984,0.0469780364752237,-0.0027792032927807806,0.06670039590541489,-0.0266391829821082
-45.0,-10.0,-10.0,5.0,-0.014396140187235,0.05136029204386819,0.04924503166758398,-0.00329394426251495,0.0697838733364514,-0.027869090762353402
-45.0,-10.0,-10.0,10.0,-0.013481370492839798,0.0534138847859392,0.04975968595940994,-0.00411328931607037,0.0700525946018567,-0.0290004140006045
-45.0,-10.0,-10.0,15.0,-0.013586635145221296,0.05323298020997631,0.047621449484138934,-0.0058458090655602295,0.0662267023266631,-0.0287230634915267
-45.0,-10.0,-10.0,20.0,-0.011880443673872101,0.05600391449171921,0.047966168904440165,-0.006560726255862641,0.06563708644074849,-0.030284228358988342
-45.0,-10.0,0.0,-20.0,-0.016340392226714004,0.04906414059550679,0.05856365342095993,0.00486084600576747,0.080734121620849,-0.027167568568658505
-45.0,-10.0,0.0,-15.0,-0.015179769455264003,0.045129057989322,0.05409841422665296,0.00408497109653734,0.07535966859275979,-0.024883516165423697
-45.0,-10.0,0.0,-10.0,-0.014232057890341841,0.044553577109831294,0.05177289692770204,0.0026883431336537397,0.07276200005738681,-0.024502765880094802
-45.0,-10.0,0.0,-5.0,-0.0136891102042991,0.045180279979746704,0.05008422011321001,0.001364903487389541,0.0706696867027401,-0.0247905783016157
-45.0,-10.0,0.0,0.0,-0.0125370241280321,0.04589936630880321,0.04919918004002491,0.00017201805256954802,0.06958123748680631,-0.02514097546351385
-45.0,-10.0,0.0,5.0,-0.011376624864980894,0.0478117014140122,0.04887349824333004,-0.0009703867834736269,0.06885467517050291,-0.02622329725607834
-45.0,-10.0,0.0,10.0,-0.011285859173010802,0.049537545679649506,0.04833677263316505,-0.00226105573916027,0.0678693511525802,-0.0271475155476992
-45.0,-10.0,0.0,15.0,-0.01031038145694576,0.05341637696333254,0.05069734848259011,-0.00304097559306239,0.0705230378114702,-0.02928872815237552
-45.0,-10.0,0.0,20.0,-0.00952032428552091,0.058112920715240504,0.05435263899805998,-0.0034168580142688917,0.075128723975853,-0.03185206267190102
-45.0,-10.0,10.0,-20.0,-0.011930425747995008,0.0453204699079437,0.06132993443536994,0.00673021508179451,0.0854007930139611,-0.024518180496288698
-45.0,-10.0,10.0,-15.0,-0.011824836363185702,0.047384270012612105,0.059347756828192044,0.005246162308018074,0.0828885775643468,-0.0257478245686691
-45.0,-10.0,10.0,-10.0,-0.01209886954634367,0.04718809462119016,0.05673068929688302,0.004207052223106919,0.07948200298100419,-0.02577886918789699
-45.0,-10.0,10.0,-5.0,-0.0118199805551608,0.045498057814458905,0.05396964720528202,0.003705010007107316,0.0758474505672034,-0.02486033285146471
-45.0,-10.0,10.0,0.0,-0.010271425347512596,0.045350637952123504,0.053613652466784,0.0027900914486029098,0.0758259291390212,-0.02474985752360341
-45.0,-10.0,10.0,5.0,-0.009240601276102801,0.0480572117100173,0.05484260377178096,0.0015445780784354001,0.07777378850916791,-0.026193703955141652
-45.0,-10.0,10.0,10.0,-0.008614991868281439,0.05172369021121069,0.056326916865346965,0.0005218197834054904,0.07955708995084299,-0.0282732179480583
-45.0,-10.0,10.0,15.0,-0.008254321820715706,0.05652207484140101,0.05949434196105008,-0.00017043733369188994,0.08351791665463698,-0.0309794118783037
-45.0,-10.0,10.0,20.0,-0.008112836095235998,0.061401342935263004,0.06260530590010993,-0.0008847058603171105,0.08725638996260701,-0.033684651809450496
-45.0,-10.0,20.0,-20.0,-0.008949685141194,0.0437175338673776,0.06422916582928107,0.00801413443869454,0.08940121421072,-0.023039846369262058
-45.0,-10.0,20.0,-15.0,-0.0083452677527431,0.04294609020999819,0.06205341052551605,0.00765488613537175,0.0867021806770858,-0.0227090691244867
-45.0,-10.0,20.0,-10.0,-0.008211532610941789,0.043383123984707006,0.060719964350347044,0.006997860210273316,0.0851219357846632,-0.02305596153434719
-45.0,-10.0,20.0,-5.0,-0.0078085628171695,0.04557094028876399,0.061078178421758195,0.005864132422368129,0.0862491450282579,-0.02430230891842719
-45.0,-10.0,20.0,0.0,-0.007017746527070101,0.048520171329134,0.062845602573156,0.00457817298835544,0.08938074294189301,-0.025928933754615503
-45.0,-10.0,20.0,5.0,-0.0068719612090344,0.05217374094296101,0.06506756247497997,0.0034240569070201504,0.09273658718340799,-0.0279842536163468
-45.0,-10.0,20.0,10.0,-0.007114242774819649,0.056465452651195985,0.06778380716435606,0.00249418850347608,0.09643126720368003,-0.030433449537570198
-45.0,-10.0,20.0,15.0,-0.0075729598135634985,0.06142817965190403,0.07104823366966984,0.0018018052271303103,0.10063741366343598,-0.0332830608946854
-45.0,-10.0,20.0,20.0,-0.007896365375459014,0.06641176576211799,0.0735246169526802,0.0009847520335669012,0.10329417381292,-0.0361780367306664
-45.0,0.0,-20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,-20.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,-20.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,-20.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,-20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,-20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,-20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,-20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,-10.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,-10.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,-10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,-10.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,-10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,-10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,-10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,-10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,10.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,10.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,10.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,20.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,20.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,20.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,10.0,-20.0,-20.0,-0.003422596137063999,-0.06177555254897801,-0.06511891839708017,0.001413401872762621,-0.09302433908851898,0.034024496550263794
-45.0,10.0,-20.0,-15.0,-0.003680810913876398,-0.05683529846367602,-0.06015175856436206,0.0022625477665758004,-0.086690089870746,0.0310289043372615
-45.0,10.0,-20.0,-10.0,-0.004318398881143701,-0.052891902266563984,-0.055704824729484015,0.0032285861161705396,-0.08076041259504599,0.028653344164882397
-45.0,10.0,-20.0,-5.0,-0.005282872303557902,-0.05045636512047799,-0.05207104678698804,0.00441341382406512,-0.07556699331839199,0.0271973214156514
-45.0,10.0,-20.0,0.0,-0.0065322823647447,-0.049426925392482,-0.0490280661313682,0.005753745457745001,-0.07070175260105699,0.0266140884865853
-45.0,10.0,-20.0,5.0,-0.008492679513730197,-0.049761670141759,-0.046705226183774984,0.0070829965560113995,-0.06629539699929089,0.0268955998047991
-45.0,10.0,-20.0,10.0,-0.009286160335246804,-0.05243370591076199,-0.048916082427363006,0.0071783810897108995,-0.06913706119362531,0.02843081788854373
-45.0,10.0,-20.0,15.0,-0.009000831081827101,-0.05631196484958499,-0.05328781054127596,0.006763758069738102,-0.0754283804755877,0.0303944351008734
-45.0,10.0,-20.0,20.0,-0.009356068381172006,-0.05597293949766849,-0.052742477697440115,0.00767771704304912,-0.07379205889223,0.030083674777426787
-45.0,10.0,-10.0,-20.0,-0.00512040494072899,-0.053979647445594,-0.05694806691357002,-0.0015195071093457302,-0.07969462946178801,0.0302158487274979
-45.0,10.0,-10.0,-15.0,-0.0058684738869616004,-0.049844769797051006,-0.05282005458399208,-0.0007262688041015002,-0.07474047865568902,0.027737515848587205
-45.0,10.0,-10.0,-10.0,-0.006940779878294501,-0.04713996857570789,-0.05001517585730497,0.00028821840835759017,-0.07149317298823779,0.0260735497296692
