# Aircraft: RC BIRE
# Date Generated: 2025-04-30 15:12:20
# Ventral Fins: False
# BIRE Angle Range: -45 to 45 deg
# Reference Area (ft^2): 2.98
# Longitudinal Reference Length (ft): 1.097
# Lateral Reference Length (ft): 3
parameter,independent_variables,4
parameter,coordinate_system,body

BIRE[deg],aileron[deg],beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-45.0,-30.0,-20.0,-20.0,-0.1113503865025109,-0.014962748859977004,-0.09261804322091005,0.09763001361759217,0.053190922242241034,0.0068911159115560006
-45.0,-30.0,-20.0,-15.0,-0.103943951522909,-0.008820003708499002,-0.12257685719551104,0.08846116809950212,0.04413512303526701,0.0064954979427386955
-45.0,-30.0,-20.0,-10.0,-0.0920544077819637,0.00245499872676902,-0.14315316950680596,0.08045469914039671,0.04058368927402001,0.003061232177350895
-45.0,-30.0,-20.0,-5.0,-0.07783658245897081,0.01787294159367603,-0.154403701187439,0.0743323159125297,0.04056197887002902,-0.0026542242921374012
-45.0,-30.0,-20.0,0.0,-0.0638876143250713,0.019268904234848006,-0.17393541403032411,0.0724686320389737,0.019884718369920992,-0.0017374219056082024
-45.0,-30.0,-20.0,5.0,-0.0484935775495752,0.019313976346301,-0.18859529272798098,0.0726663715254166,-0.003822831513602701,-0.00017721225270379837
-45.0,-30.0,-20.0,10.0,-0.03678600902647624,0.03029103840599401,-0.17624702525291702,0.0787627876955803,0.002765734403322298,-0.0037170789149092998
-45.0,-30.0,-20.0,15.0,-0.027544979276141,0.03757657008967302,-0.15907195611370395,0.0871678258757195,0.010377477746192104,-0.005093743865599
-45.0,-30.0,-20.0,20.0,-0.020378236916168607,0.03732045877484702,-0.1471168887521601,0.094493144270007,0.0034075537467989914,-0.0020495295859015994
-45.0,-30.0,-10.0,-20.0,-0.08877782506278961,-0.020255761830950014,-0.04795306105441988,0.10278222398455138,0.021009528930919008,0.0031756294178355016
-45.0,-30.0,-10.0,-15.0,-0.0849058798833157,-0.013263787229252005,-0.06332807213592506,0.09426030587466157,0.02102354674246698,0.0027570982740953084
-45.0,-30.0,-10.0,-10.0,-0.07866762558705381,-0.0029290719206139793,-0.07357723434820795,0.08733074643666211,0.023180174858690006,0.0005683004938646999
-45.0,-30.0,-10.0,-5.0,-0.0698169766926716,0.02472370848773299,-0.064698538901786,0.08020428565213898,0.04553868920749879,-0.010218864440022506
-45.0,-30.0,-10.0,0.0,-0.06423866561616981,0.022011930693058,-0.07176617767559679,0.08071755105342462,0.024608238825498997,-0.006312468705769701
-45.0,-30.0,-10.0,5.0,-0.0597883586538556,0.022321621225273203,-0.08945196091354701,0.08300396279943865,0.018363646216293,-0.003873764781736299
-45.0,-30.0,-10.0,10.0,-0.0553704716491771,0.02705941315106919,-0.08683011983159905,0.08816831261976033,0.0196231875065001,-0.0036350046033764988
-45.0,-30.0,-10.0,15.0,-0.0527846526015501,0.028125919047612913,-0.08404562004766292,0.09422703968550768,0.0181653222744194,-0.0012171098636722093
-45.0,-30.0,-10.0,20.0,-0.0502573854850607,0.0244536357977337,-0.08507768731382992,0.09999174088798946,0.00796267091127198,0.0037843344642902875
-45.0,-30.0,0.0,-20.0,-0.0720596281764066,-0.021771060376244204,0.021098097028110052,0.10301000308673647,0.004671410791919017,3.787042005330005e-05
-45.0,-30.0,0.0,-15.0,-0.0708455659632183,-0.0169738636071241,0.01551376347144695,0.09539831743778864,0.004999590256985098,0.0002928918499935998
-45.0,-30.0,0.0,-10.0,-0.06914197959627974,-0.010095149004118599,0.011330114559049975,0.08969080873936061,0.005726435162244199,-0.0002013902430303971
-45.0,-30.0,0.0,-5.0,-0.067569050794016,-0.0008951653325479994,0.009244544365232976,0.08582341306050642,0.00807047078386003,-0.0017529510719732997
-45.0,-30.0,0.0,0.0,-0.0674490179053513,0.0043273833227160195,0.0030568822618420033,0.08475723628380745,0.004063198971677902,-0.0014238015876515198
-45.0,-30.0,0.0,5.0,-0.0669604685985421,0.007535414332611581,-0.0039320438453179785,0.08608109790682524,-0.001066916152931488,-9.819549291618067e-05
-45.0,-30.0,0.0,10.0,-0.0685620705708487,0.012945192078135302,-0.0038200853599970053,0.09024465507808986,0.004114834538772302,0.0004062551896774
-45.0,-30.0,0.0,15.0,-0.07031331702857829,0.0187085311027127,-0.0010169707731799704,0.09757300748713296,0.01521836310257399,0.0005335189352784
-45.0,-30.0,0.0,20.0,-0.0707452754923894,0.017170531694334003,-0.007779217929960058,0.10452282801153981,0.013804368589130006,0.004264162800815201
-45.0,-30.0,10.0,-20.0,-0.052342748593905905,-0.0299848029918002,0.09646101486451997,0.0988920432647854,-0.0007579247749221057,0.001094706195272301
-45.0,-30.0,10.0,-15.0,-0.05291410442529947,-0.030921127620203,0.09570841099967697,0.09251156064826731,-0.007682037361316202,0.004539623510727191
-45.0,-30.0,10.0,-10.0,-0.05452362473586652,-0.024492818533844406,0.09780032506670994,0.08631770045866825,-0.007874894642507999,0.0040836365460315965
-45.0,-30.0,10.0,-5.0,-0.0579373436932123,-0.016099838403653796,0.09698418110772,0.08167276801403248,-0.009350083456126,0.00238597938424036
-45.0,-30.0,10.0,0.0,-0.06420735842329099,-0.01193694243479379,0.0756447308475881,0.0802321323225344,-0.019174721600150005,0.0027110641014334996
-45.0,-30.0,10.0,5.0,-0.06805965882014259,-0.017352417408686996,0.061458232050012995,0.07956202288708013,-0.04773288863896,0.007750333372772502
-45.0,-30.0,10.0,10.0,-0.07571960599917693,0.001262804941135981,0.07297767695492496,0.08645095855019777,-0.020985404925681017,0.001602844368071503
-45.0,-30.0,10.0,15.0,-0.0824384037089129,0.008352406647335997,0.06762293609287995,0.09414703101603365,-0.010042765794332997,0.0012574864266806998
-45.0,-30.0,10.0,20.0,-0.08625969281974519,0.009320574277130012,0.05116465651490998,0.10200904998305908,-0.010044528238128014,0.004123997095418497
-45.0,-30.0,20.0,-20.0,-0.021942219380753206,-0.04224993539766701,0.16147284591217104,0.09170602830389084,0.0018078428383119932,0.006111514902984341
-45.0,-30.0,20.0,-15.0,-0.0270172475673451,-0.037138415527986024,0.1753822806238411,0.08317635991129389,0.002010793615323095,0.0061403986536346985
-45.0,-30.0,20.0,-10.0,-0.035337313407147,-0.029581286173868987,0.18479874850620198,0.07639599069247442,0.001446117561649897,0.0044700066161648
-45.0,-30.0,20.0,-5.0,-0.046626328460556796,-0.01858558556023701,0.18884555783741122,0.07170208740291252,-0.0004981381769330051,0.000712842114675899
-45.0,-30.0,20.0,0.0,-0.0606787804685624,-0.017983646461779995,0.1758694943673342,0.0715900736790327,-0.01803623454814199,0.0021408650199813
-45.0,-30.0,20.0,5.0,-0.0737551511344459,-0.019055777602495994,0.15386604901282996,0.07379973337747102,-0.03805854954785398,0.004445627593278899
-45.0,-30.0,20.0,10.0,-0.08628515589400611,-0.010978978946483003,0.13861588198948105,0.0793527445956992,-0.040332770531148976,0.002528391230853605
-45.0,-30.0,20.0,15.0,-0.0973814192077882,-0.003908559690185998,0.11741214166034697,0.08700804803095034,-0.041713381552507034,0.001418491131693303
-45.0,-30.0,20.0,20.0,-0.1042643853288713,-0.0018610219056729993,0.08379797209559015,0.0948834935034747,-0.053518820884814966,0.0031871037322439982
-45.0,-20.0,-20.0,-20.0,-0.0730005297777819,-0.012017540003239013,-0.07222220720481998,0.07118038604757447,0.03603509277130901,0.004940850244952
-45.0,-20.0,-20.0,-15.0,-0.06774692668080809,-0.007372000669856993,-0.09305437585314003,0.06453452273158174,0.03007988639564102,0.004572804235595501
-45.0,-20.0,-20.0,-10.0,-0.0592313218079359,0.0011425594293460462,-0.10704748486750099,0.05870695431236342,0.02823687952679299,0.0019158643402587966
-45.0,-20.0,-20.0,-5.0,-0.0489801894457164,0.012702536429679001,-0.11425308168728102,0.0542545463215342,0.02900388059277001,-0.002415639060976797
-45.0,-20.0,-20.0,0.0,-0.0388154021845305,0.01375194151808401,-0.1274743567022291,0.0529602511074693,0.014812355129544,-0.0017402675735260983
-45.0,-20.0,-20.0,5.0,-0.027675986998539497,0.013845262020001997,-0.13699611845721998,0.0531800014681079,-0.0014086708408335008,-0.0006001573115392983
-45.0,-20.0,-20.0,10.0,-0.018715094706564645,0.022096976196175983,-0.12702891216900603,0.0576571471515719,0.003826654423549701,-0.003345597229938699
-45.0,-20.0,-20.0,15.0,-0.0116032279458083,0.02762979424529302,-0.113538035020333,0.0638514129884211,0.009678153397943798,-0.0045108592678285014
-45.0,-20.0,-20.0,20.0,-0.0061300308723485075,0.027709392703929997,-0.10337242325281015,0.0693658228025586,0.005460007888432983,-0.0024612216515218013
-45.0,-20.0,-10.0,-20.0,-0.05626521486141631,-0.01598000818058601,-0.04022543991927985,0.07521203932503068,0.012037438130871991,0.002593066875135594
-45.0,-20.0,-10.0,-15.0,-0.053556544035008896,-0.010462260951495994,-0.0501413986295951,0.06894888233343556,0.012931354768926984,0.0020488439461461075
-45.0,-20.0,-10.0,-10.0,-0.0491941631783798,-0.0024579222586869898,-0.05641099727000498,0.06386139039931321,0.015292206351530002,0.0001933754548552047
-45.0,-20.0,-10.0,-5.0,-0.0431551890350788,0.018379049313734006,-0.048876395509029,0.05862663507614158,0.03212251491616279,-0.008060013781361203
-45.0,-20.0,-10.0,0.0,-0.038918805263229196,0.016407590054524995,-0.052834127028908794,0.05905136557895652,0.017716109675687697,-0.005155176023154198
-45.0,-20.0,-10.0,5.0,-0.0355050889954222,0.016594454579949194,-0.06491702718276898,0.06071397634856815,0.01358691756357818,-0.003346249412206799
-45.0,-20.0,-10.0,10.0,-0.0320260033720667,0.02019755924341489,-0.062015431727576065,0.06448728900960983,0.014941640893342698,-0.003241982969121199
-45.0,-20.0,-10.0,15.0,-0.029853010911228287,0.021342712132684308,-0.05861130722553298,0.06899241171468627,0.01474085871184179,-0.0016772202319808704
-45.0,-20.0,-10.0,20.0,-0.0279409657977195,0.019175930876289507,-0.05745399578154986,0.07344666820271586,0.008975351225403994,0.0017076718200030277
-45.0,-20.0,0.0,-20.0,-0.04395538553929791,-0.0170254281231607,0.009987193919569926,0.07557194968870427,-0.0002779374442459931,0.0006126184841769022
