# Aircraft: RC BIRE
# Date Generated: 2025-04-30 15:29:15
# Ventral Fins: False
# BIRE Angle Range: -45 to 45 deg
# Reference Area (ft^2): 2.98
# Longitudinal Reference Length (ft): 1.097
# Lateral Reference Length (ft): 3
parameter,independent_variables,3
parameter,coordinate_system,body

BIRE[deg],qbar,alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-45.0,-0.015664699324518885,-20.0,0.012287525261771001,0.01981865931323279,0.04480662659775003,0.003364410127780269,0.03978448487292499,-0.011044750593556703
-45.0,-0.015664699324518885,-15.0,0.007856250908652503,0.017877460364993603,0.03658407914983697,0.00270561319716418,0.035013264925561796,-0.0098768110046428
-45.0,-0.015664699324518885,-10.0,0.00450593395108113,0.015842754681428803,0.029562146155535984,0.00221828577120411,0.0305318359018196,-0.008658585431136498
-45.0,-0.015664699324518885,-5.0,0.0021166358164990996,0.014551193987863004,0.025050712590551,0.001643192451389191,0.0276628487785833,-0.007880666478733698
-45.0,-0.015664699324518885,0.0,9.019348799699928e-05,0.014191769868392108,0.023410520930837203,0.0010040551655437191,0.0264115227917239,-0.00763149255941286
-45.0,-0.015664699324518885,5.0,-0.0020199792995697977,0.014433781739028873,0.024732060037795045,0.00042548817026034403,0.026829636143148206,-0.0076941907570174
-45.0,-0.015664699324518885,10.0,-0.0043747549328837995,0.015656512704876002,0.029069001764911007,7.528469147121005e-05,0.0291759354151038,-0.00836590549462313
-45.0,-0.015664699324518885,15.0,-0.0080196998075376,0.0190921325098076,0.03852457421953992,0.0007314000337604999,0.037564929416536996,-0.0102718509209421
-45.0,-0.015664699324518885,20.0,-0.011999298167874109,0.017098564379310503,0.04002071640808014,-0.00123861862355009,0.03243222927744402,-0.0091732703017952
-45.0,-0.013053916103765738,-20.0,0.010140012440907994,0.0163338075323312,0.03709343253182995,0.0027681755787564693,0.03288666332463999,-0.0090975478040266
-45.0,-0.013053916103765738,-15.0,0.0064684730208623975,0.0147769585412027,0.03030138451022002,0.0022086018030601402,0.0289801883029754,-0.008158838047828
-45.0,-0.013053916103765738,-10.0,0.0036970510991749398,0.013120181536405304,0.024498010719269048,0.00180138794602407,0.025293751431152,-0.007164951342828799
-45.0,-0.013053916103765738,-5.0,0.0017186153256004005,0.012072844361099101,0.02077787185032498,0.0013239591450452208,0.0229375188026602,-0.0065339396335257986
-45.0,-0.013053916103765738,0.0,3.5988530727899815e-05,0.011812092997043909,0.019458128262637403,0.0007926735983623791,0.021939633816759303,-0.0063488600438764
-45.0,-0.013053916103765738,5.0,-0.0017218297759505966,0.012051775176269852,0.020608953545287023,0.00031350659492867107,0.022336927034684206,-0.006423089685492231
-45.0,-0.013053916103765738,10.0,-0.0037002802797014983,0.0131849343272077,0.024401296450775045,5.1164038771989986e-05,0.02452172405706421,-0.007043764148709359
-45.0,-0.013053916103765738,15.0,-0.006842258627806599,0.016704770099959,0.03335721517350998,0.0008837635826538898,0.03312289961225,-0.008990045720442201
-45.0,-0.013053916103765738,20.0,-0.010064182421754608,0.014373795528070402,0.03350379472206,-0.0010559256355060398,0.02716621190486801,-0.007712890808595999
-45.0,-0.010443132883012587,-20.0,0.008033695868167004,0.012924047652210988,0.029480788596679908,0.00218597738497317,0.026098897810393012,-0.007194243025480801
-45.0,-0.010443132883012587,-15.0,0.005112692830410298,0.011728089009685902,0.024095103832480036,0.0017298557208617407,0.023028924771415396,-0.006471491320975499
-45.0,-0.010443132883012587,-10.0,0.00291200648790555,0.0104335069580163,0.019491139880290054,0.0014033222622301003,0.0201184292962197,-0.005693308775455999
-45.0,-0.010443132883012587,-5.0,0.0013392155543756022,0.009618901352476998,0.016546842475962997,0.0010228906585427612,0.0182615123236602,-0.0052024066508879006
-45.0,-0.010443132883012587,0.0,-2.2837805790029697e-06,0.009440945683046612,0.01552840098873591,0.000599059491952467,0.0174987322541841,-0.00507213707843449
-45.0,-0.010443132883012587,5.0,-0.0014082840842264965,0.009663061388977202,0.016488863999994996,0.000218171622746628,0.017855935359386413,-0.00514905732435046
-45.0,-0.010443132883012587,10.0,-0.0030063986038754986,0.010678413773286401,0.019693808205822005,3.760902951803003e-05,0.01982716936392881,-0.00570332436249963
-45.0,-0.010443132883012587,15.0,-0.0056383904180945,0.014155025991610698,0.02795752112658012,0.0009962829509463898,0.028361502186968993,-0.007618028078226199
-45.0,-0.010443132883012587,20.0,-0.008103734086110898,0.011600766455240004,0.026927853921870026,-0.00086336053797018,0.02184756863287801,-0.006226055212868897
-45.0,-0.007832349662259442,-20.0,0.005967808143509987,0.00958921175138519,0.021968298348109982,0.001617393201481989,0.01942101656238901,-0.005334745199325204
-45.0,-0.007832349662259442,-15.0,0.0037884689404112035,0.008728495524132698,0.017963643865936962,0.00126947305124898,0.017157547203901696,-0.004813399768293501
-45.0,-0.007832349662259442,-10.0,0.00215027139924561,0.007780385786120801,0.014539672489023991,0.0010241368737040402,0.015003564697798802,-0.004242296706170899
-45.0,-0.007832349662259442,-5.0,0.0009780227082459014,0.0071873679837412,0.01235547278928098,0.000739995359479791,0.01363214943216463,-0.0038845779158313987
-45.0,-0.007832349662259442,0.0,-2.4834795475998928e-05,0.00707624141795861,0.011619535325795002,0.00042310181233935404,0.0130865752022759,-0.0038001035240732605
-45.0,-0.007832349662259442,5.0,-0.0010793395728800961,0.007265164628820701,0.012369299907104003,0.00013924467654964005,0.0133834802939133,-0.00387070018194332
-45.0,-0.007832349662259442,10.0,-0.0022920386091086,0.0081270428205171,0.01493176592422707,3.186915327344007e-05,0.015071942766968702,-0.0043393510616784
-45.0,-0.007832349662259442,15.0,-0.0043882365957458,0.0112905004104343,0.022077980570450073,0.00100312682361424,0.022911274899135997,-0.0060723657383295986
-45.0,-0.007832349662259442,20.0,-0.006117529336023997,0.0087781765715087,0.02029122001084005,-0.00066119413061759,0.01647400326599502,-0.0047120557812546995
-45.0,-0.005221566441506294,-20.0,0.003941299350025004,0.006327757141013288,0.014554304724309963,0.001062469516617679,0.012850793390880993,-0.0035182065031532997
-45.0,-0.005221566441506294,-15.0,0.0024953055281247,0.005775686335082804,0.011905244745104016,0.0008275906072147702,0.011363872157669888,-0.0031831218399807973
-45.0,-0.005221566441506294,-10.0,0.0014113434566400702,0.005158565082774,0.009641824249391973,0.0006638531332345998,0.009946963475630698,-0.0028106009846503993
-45.0,-0.005221566441506294,-5.0,0.0006346580901708011,0.004774946735027902,0.008201720577208998,0.000475262632639701,0.009046894293121409,-0.0025790664198227994
-45.0,-0.005221566441506294,0.0,-3.1857668671302075e-05,0.00471589851268426,0.007729722646779999,0.000264685731512221,0.008700910153683898,-0.0025315431540725705
-45.0,-0.005221566441506294,5.0,-0.0007349728446132964,0.004855723688568002,0.008247904702234021,7.65017687001531e-05,0.008916550694479802,-0.0025866857623074906
-45.0,-0.005221566441506294,10.0,-0.0015549255757535997,0.0055099321403877,0.010082940479100966,2.7663431944970063e-05,0.010211375244893697,-0.0029408873555285993
-45.0,-0.005221566441506294,15.0,-0.0030540238334267993,0.0079743476927756,0.015477461520130076,0.0008416985578420901,0.016407214777171997,-0.004281512763697301
-45.0,-0.005221566441506294,20.0,-0.0041051353745995,0.005904718891997104,0.013592185817389968,-0.00044971312253589985,0.011043156521102993,-0.0031701825218738017
-45.0,-0.002610783220753147,-20.0,0.0019527062463099987,0.003134876139600201,0.007234477052249888,0.0005223344392079991,0.006381696589598002,-0.0017419419401819985
-45.0,-0.002610783220753147,-15.0,0.0012326685337549978,0.002867072944650703,0.005918021785424998,0.0004043723559857002,0.005645526069802495,-0.0015791648664343003
-45.0,-0.002610783220753147,-10.0,0.0006947397300534402,0.002565817708027801,0.004795832119437016,0.0003224796372424299,0.004946463846696499,-0.0013969209959999972
-45.0,-0.002610783220753147,-5.0,0.0003087615300828017,0.0023797761986129005,0.004083755875899986,0.0002286340882846009,0.004503488104359649,-0.0012845833266038002
-45.0,-0.002610783220753147,0.0,-2.3527249982800702e-05,0.0023578409839641696,0.0038571498959110023,0.000123692615533135,0.004339475328335202,-0.00126524421854828
-45.0,-0.002610783220753147,5.0,-0.0003751705554497983,0.002433488488505501,0.004123820105331022,2.992124770447805e-05,0.004454085648360903,-0.0012962426724856101
-45.0,-0.002610783220753147,10.0,-0.000791648732505798,0.0028021556710200006,0.0051079199284109755,1.7335928331789962e-05,0.005190598703463098,-0.0014949901568857994
-45.0,-0.002610783220753147,15.0,-0.0015896754323498005,0.004168153679927601,0.00804962378000007,0.00048821928774849996,0.008674257945305991,-0.0022324134440552014
-45.0,-0.002610783220753147,20.0,-0.002066109837338001,0.002979091029780709,0.00682902539232999,-0.00022921399230997012,0.005552630653643004,-0.0015997299081672994
-45.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.002610783220753147,-20.0,-0.001919487813934001,-0.003095881122700511,-0.007164388576879954,-0.0004987704555273909,-0.006318316289688,0.0017183860346857982
-45.0,0.002610783220753147,-15.0,-0.001203269602873397,-0.0028282317877263985,-0.005850857858475056,-0.0003853346340235604,-0.005575305901715913,0.001555926286118902
-45.0,0.002610783220753147,-10.0,-0.00067330177854107,-0.0025407452621679025,-0.004747138359030956,-0.00030367050381882024,-0.0048941712588433,0.0013812679129994003
-45.0,0.002610783220753147,-5.0,-0.000291936120064,-0.0023659303530666996,-0.00405083814621901,-0.00021080844485551304,-0.004465126566647,0.0012756337886230002
-45.0,0.002610783220753147,0.0,3.858606885440152e-05,-0.0023596879860414573,-0.003843547731329,-0.00010651844564473899,-0.004319795194008401,0.001265390553730486
-45.0,0.002610783220753147,5.0,0.0003903199806883015,-0.0024395750839899984,-0.004115616035672953,-1.2091601787126956e-05,-0.0044352754815703,0.00129960254634876
-45.0,0.002610783220753147,10.0,0.0008145063030604999,-0.0028333767856150993,-0.0051397668714510125,-3.4736614101501043e-06,-0.005219860488639996,0.0015108459511560014
-45.0,0.002610783220753147,15.0,0.0015730116459960995,-0.004098095847116796,-0.00785505909932005,-0.00041403127972392006,-0.008375175155511005,0.0021936161187646012
-45.0,0.002610783220753147,20.0,0.002093658077602492,-0.0030338365958349905,-0.006896640829419987,0.00023761992542662997,-0.005617186779980993,0.0016296966046246975
-45.0,0.005221566441506294,-20.0,-0.0038087689228070015,-0.006181971772809505,-0.014281572831910117,-0.0009649066453375401,-0.012609265581191992,0.0034298675774658005
-45.0,0.005221566441506294,-15.0,-0.002377711112286199,-0.005620348084125697,-0.011636628865936971,-0.0007514357047967504,-0.011083046904392803,0.0030901833058527006
-45.0,0.005221566441506294,-10.0,-0.00132554556636598,-0.0050576958936129,-0.009446588725872007,-0.0005887471320950399,-0.0097371510883505,0.0027476829497218025
-45.0,0.005221566441506294,-5.0,-0.0005673362947308976,-0.004719215087281698,-0.00806976514881802,-0.0004040196027830501,-0.0088930790882959,0.002543089417774501
-45.0,0.005221566441506294,0.0,9.211142590329763e-05,-0.00472327690095082,-0.007675317258118999,-0.0001959929400426,-0.0086221980160575,0.0025321223443771903
-45.0,0.005221566441506294,5.0,0.0007954383066776996,-0.004878360368707497,-0.008212711851163956,-4.875723878622947e-06,-0.0088381968407088,0.0025992836670827597
-45.0,0.005221566441506294,10.0,0.0016324247816014992,-0.0055426067566277,-0.010057867870260973,5.7714513249399954e-05,-0.010115111542429,0.002956971676958301
-45.0,0.005221566441506294,15.0,0.0029324541884723013,-0.007372079114521798,-0.014216125013909897,-0.00041753561569450007,-0.014440761552380998,0.0039599583830526
-45.0,0.005221566441506294,20.0,0.004215340412300997,-0.006123691402033393,-0.013862660943690042,0.0004833312582342899,-0.011301409011722996,0.003290041039691702
-45.0,0.007832349662259442,-20.0,-0.0056703236480140085,-0.009296029891899912,-0.021380269622329973,-0.0013866431200839201,-0.01891765789512899,0.005156167926296702
-45.0,0.007832349662259442,-15.0,-0.0035238884141639976,-0.0083790874511682,-0.017359412270787966,-0.0010981082276737197,-0.01652590590392071,0.0046043492235321
-45.0,0.007832349662259442,-10.0,-0.00195706618356053,-0.007551355715155899,-0.014098753132811948,-0.0008556159317356202,-0.0145292032637557,0.0040996358195965026
-45.0,0.007832349662259442,-5.0,-0.0008264750679376001,-0.007060806666368699,-0.012057593290355023,-0.000579905374938256,-0.013284795389688402,0.0038030100324193614
-45.0,0.007832349662259442,0.0,0.0001604750322050999,-0.00709281063566662,-0.011497135386428992,-0.00026855768527036595,-0.0129095042937332,0.00380138354412352
-45.0,0.007832349662259442,5.0,0.0012149407946711044,-0.007309818006329599,-0.012281519084060999,2.303018085126002e-05,-0.013195929359098094,0.00389597722975556
-45.0,0.007832349662259442,10.0,0.0024299958124955993,-0.007962297240757202,-0.014483168818668957,0.0002365187450601399,-0.014306597380961003,0.0042537491756276
-45.0,0.007832349662259442,15.0,0.004087451047527099,-0.009490176139252897,-0.01862228588671999,0.00011509967822692993,-0.017487325842556994,0.005114704316557899
-45.0,0.007832349662259442,20.0,0.006365535943307493,-0.009270829175489798,-0.020899840547409898,0.0007368134203250601,-0.017055178586030006,0.004981707075153899
-45.0,0.010443132883012587,-20.0,-0.007504689407321005,-0.012474747514514412,-0.028486880742270015,-0.0017527828897856102,-0.025283760418853995,0.0069187115589006
-45.0,0.010443132883012587,-15.0,-0.004642352061289996,-0.011107190985974097,-0.02302131586212197,-0.0014251619203548404,-0.021906572157027404,0.0061000055949888
-45.0,0.010443132883012587,-10.0,-0.002568183260192268,-0.0100217262168306,-0.018703666850585998,-0.00110477320173181,-0.01927008958769084,0.005437249351482902
-45.0,0.010443132883012587,-5.0,-0.0010696186803666984,-0.0093916643858645,-0.016015160567178,-0.000738740444324582,-0.017641252553295,0.005056039987870481
-45.0,0.010443132883012587,0.0,0.00024359432620139898,-0.00947032365111668,-0.015310831451741988,-0.0003243509222078265,-0.017184017731451,0.00507435500859426
-45.0,0.010443132883012587,5.0,0.0016485079805442018,-0.009728674320714698,-0.016314734042541967,7.267098810045404e-05,-0.01749886358951759,0.0051874503949058594
-45.0,0.010443132883012587,10.0,0.003205578516664101,-0.010105226386105597,-0.01843457484450095,0.00052775075722465,-0.017819904269318995,0.005409177015845999
-45.0,0.010443132883012587,15.0,0.005218224486823901,-0.011059023460789297,-0.02216586267441989,0.0009033920313572398,-0.019194893769761995,0.005969231054237998
-45.0,0.010443132883012587,20.0,0.008544747362512192,-0.0124765091143767,-0.028009979736969948,0.00099773909534197,-0.022881045501640995,0.0067053623086053005
