# RCF16
parameter,independent_variables,2
parameter,coordinate_system,body
alpha[deg],beta[deg],Cx,Cy,Cz,Cl,Cm,Cn
-20.0,-20.0,27.725194990164,0.681150977322,93.3519045304,0.04306889713,57.383493981123,-0.233930753925
-20.0,-10.0,0.269421312328,0.130449795398,1.670100453548,0.013149723586,0.500226729089,-0.035892466762
-20.0,0.0,0.124584655208,0.0,1.199839484528,-0.0,0.160707612652,-0.0
-20.0,10.0,0.269421312328,-0.130449795398,1.670100453548,-0.013149723586,0.500226729089,0.035892466762
-20.0,20.0,27.725194990163,-0.681150977322,93.351904530398,-0.04306889713,57.383493981122,0.233930753925
-15.0,-20.0,1.494716375483,0.245500355318,5.567038996864,0.024742806482,3.119454385073,-0.058355050528
-15.0,-10.0,0.692296508126,0.102959103999,2.962726470006,0.01189019127,1.431778940925,-0.023272822985
-15.0,0.0,0.051096475291,-0.0,0.876919322962,0.0,0.101697430121,0.0
-15.0,10.0,0.692296508126,-0.102959103999,2.962726470006,-0.01189019127,1.431778940925,0.023272822985
-15.0,20.0,1.494716375483,-0.245500355318,5.567038996864,-0.024742806482,3.119454385073,0.058355050528
-10.0,-20.0,0.576430749629,0.229284453237,2.379653579418,0.021978740415,1.255037594529,-0.044761751475
-10.0,-10.0,0.083338080365,0.09637209697,0.817585352139,0.010958662188,0.244320122172,-0.016231216387
-10.0,0.0,0.002043285067,0.0,0.553738446818,-0.0,0.055868237395,0.0
-10.0,10.0,0.083338080365,-0.09637209697,0.817585352139,-0.010958662188,0.244320122172,0.016231216387
-10.0,20.0,0.576430749629,-0.229284453237,2.379653579418,-0.021978740415,1.255037594529,0.044761751475
-5.0,-20.0,0.259337307366,0.220943264455,1.178334628121,0.017488090261,0.629825030231,-0.035532257684
-5.0,-10.0,-0.001831778966,0.088707344182,0.326203793017,0.008462266086,0.087220819146,-0.009348983499
-5.0,0.0,-0.028038969095,0.0,0.228588961243,-0.0,0.015743512889,0.0
-5.0,10.0,-0.001831778966,-0.088707344182,0.326203793017,-0.008462266086,0.087220819146,0.009348983499
-5.0,20.0,0.259337307366,-0.220943264455,1.178334628121,-0.017488090261,0.629825030231,0.035532257684
0.0,-20.0,0.120736975567,0.215209589334,0.432338599983,0.017682501169,0.308585619477,-0.029226237499
0.0,-10.0,-0.031354893252,0.083794694865,-0.03209515327,0.003804585872,0.019049523696,-0.004731965098
0.0,0.0,-0.042447046829,-0.0,-0.10997811395,-0.0,-0.038083815794,-0.0
0.0,10.0,-0.031354893252,-0.083794694865,-0.03209515327,-0.003804585872,0.019049523696,0.004731965098
0.0,20.0,0.120736975567,-0.215209589334,0.432338599983,-0.017682501169,0.308585619477,0.029226237499
5.0,-20.0,0.072319009203,0.217995528093,-0.031377851319,0.01600474466,0.144623957021,-0.030684443849
5.0,-10.0,-0.033388751123,0.085130921933,-0.36882623238,-0.000524767473,-0.041980554448,-0.004817062659
5.0,0.0,-0.041072164911,-0.0,-0.438998933962,0.0,-0.080458421262,0.0
5.0,10.0,-0.033388751123,-0.085130921933,-0.36882623238,0.000524767473,-0.041980554448,0.004817062659
5.0,20.0,0.072319009203,-0.217995528093,-0.031377851319,-0.01600474466,0.144623957021,0.030684443849
10.0,-20.0,0.092898142725,0.228003862214,-0.385320660354,0.015520685607,0.023668562915,-0.038938228059
10.0,-10.0,-0.008305846733,0.085094690664,-0.68892140459,-0.001841308638,-0.100899981481,-0.006766232391
10.0,0.0,-0.022564460682,-0.0,-0.760086374937,-0.0,-0.11821136922,0.0
10.0,10.0,-0.008305846733,-0.085094690664,-0.68892140459,0.001841308638,-0.100899981481,0.006766232391
10.0,20.0,0.092898142725,-0.228003862214,-0.385320660354,-0.015520685607,0.023668562915,0.038938228059
15.0,-20.0,0.258307943218,0.228352672166,-0.500953683382,0.016771396199,0.032317736126,-0.046816335191
15.0,-10.0,0.105762391852,0.062196958646,-0.852870036529,-0.002169521684,-0.075052208654,-0.006066399092
15.0,0.0,0.017725491478,0.0,-1.082589738823,0.0,-0.167256725077,-0.0
15.0,10.0,0.105762391852,-0.062196958646,-0.852870036529,0.002169521684,-0.075052208654,0.006066399092
15.0,20.0,0.258307943218,-0.228352672166,-0.500953683382,-0.016771396199,0.032317736126,0.046816335191
20.0,-20.0,1.257348258825,0.595778245166,-8.34428954935,0.031129337579,-7.006241474192,-0.152131504912
20.0,-10.0,0.13535828349,-0.10191950828,-1.371685553885,-0.031150277214,-0.314213210095,0.067004550749
20.0,0.0,0.085965964684,-0.0,-1.406072100133,-0.0,-0.230951397889,0.0
20.0,10.0,0.13535828349,0.10191950828,-1.371685553885,0.031150277214,-0.314213210095,-0.067004550749
20.0,20.0,1.257348258825,-0.595778245166,-8.34428954935,-0.031129337579,-7.006241474192,0.152131504912
