# RCF16
parameter,independent_variables,2
parameter,coordinate_system,body
alpha[deg],rbar,Cx,Cy,Cz,Cl,Cm,Cn
-20.0,-0.035699916518,0.000224526004,-0.015861824684,0.000270937879,0.004332322108,3.6869455e-05,0.008778638855
-20.0,-0.027766601736,0.000136044209,-0.012313268651,0.000166677117,0.003371449028,2.402466e-05,0.006820502893
-20.0,-0.019833286954,6.9604858e-05,-0.008803216942,8.6791263e-05,0.002406005431,1.3015332e-05,0.004876308946
-20.0,-0.011899972173,0.000445423471,-0.005185765277,0.005927617704,0.001454339147,0.003955515848,0.002891837167
-20.0,-0.003966657391,2.791599e-06,-0.001736847219,3.421743e-06,0.000480558371,4.02851e-07,0.0009712986
-20.0,0.003966657391,2.791599e-06,0.001736847219,3.421743e-06,-0.000480558371,4.02851e-07,-0.0009712986
-20.0,0.011899972173,0.000445423471,0.005185765277,0.005927617704,-0.001454339147,0.003955515848,-0.002891837167
-20.0,0.019833286954,6.9604858e-05,0.008803216942,8.6791263e-05,-0.002406005431,1.3015332e-05,-0.004876308946
-20.0,0.027766601736,0.000136044209,0.012313268651,0.000166677117,-0.003371449028,2.402466e-05,-0.006820502893
-20.0,0.035699916518,0.000224526004,0.015861824684,0.000270937879,-0.004332322108,3.6869455e-05,-0.008778638855
-15.0,-0.035699916518,0.00018881832,-0.013134719419,0.000259434442,0.003045124261,0.000110482942,0.007498860301
-15.0,-0.027766601736,0.000114030962,-0.010203549869,0.000156369649,0.002370263023,6.615538e-05,0.005826457719
-15.0,-0.019833286954,5.7795149e-05,-0.007258023335,7.9412066e-05,0.001698653198,3.3455278e-05,0.004147037128
-15.0,-0.011899972173,2.0375535e-05,-0.004299791003,2.8407249e-05,0.001030450268,1.2019976e-05,0.00246097002
-15.0,-0.003966657391,2.128814e-06,-0.001405679398,3.04054e-06,0.000352229053,1.226727e-06,0.000803960087
-15.0,0.003966657391,2.128814e-06,0.001405679398,3.04054e-06,-0.000352229053,1.226727e-06,-0.000803960087
-15.0,0.011899972173,2.0375535e-05,0.004299791003,2.8407249e-05,-0.001030450268,1.2019976e-05,-0.00246097002
-15.0,0.019833286954,5.7795149e-05,0.007258023335,7.9412066e-05,-0.001698653198,3.3455278e-05,-0.004147037128
-15.0,0.027766601736,0.000114030962,0.010203549869,0.000156369649,-0.002370263023,6.615538e-05,-0.005826457719
-15.0,0.035699916518,0.00018881832,0.013134719419,0.000259434442,-0.003045124261,0.000110482942,-0.007498860301
-10.0,-0.035699916518,0.000143715576,-0.010199552374,0.000324128426,0.001686224728,0.000271719511,0.00612956248
-10.0,-0.027766601736,8.7132986e-05,-0.007947819041,0.000195364762,0.001308182188,0.000163151733,0.004774042414
-10.0,-0.019833286954,4.4622685e-05,-0.005699608285,9.9105457e-05,0.000929518621,8.2239168e-05,0.003420721996
-10.0,-0.011899972173,1.6110881e-05,-0.003432230504,3.5362785e-05,0.000554431377,2.9048792e-05,0.002058850876
-10.0,-0.003966657391,1.693308e-06,-0.001075881042,3.959796e-06,0.000196847436,3.275757e-06,0.000654622516
-10.0,0.003966657391,1.693308e-06,0.001075881042,3.959796e-06,-0.000196847436,3.275757e-06,-0.000654622516
-10.0,0.011899972173,1.6110881e-05,0.003432230504,3.5362785e-05,-0.000554431377,2.9048792e-05,-0.002058850876
-10.0,0.019833286954,4.4622685e-05,0.005699608285,9.9105457e-05,-0.000929518621,8.2239168e-05,-0.003420721996
-10.0,0.027766601736,8.7132986e-05,0.007947819041,0.000195364762,-0.001308182188,0.000163151733,-0.004774042414
-10.0,0.035699916518,0.000143715576,0.010199552374,0.000324128426,-0.001686224728,0.000271719511,-0.00612956248
-5.0,-0.035699916518,9.6615315e-05,-0.007913883845,0.000379822249,0.000111827388,0.000417198706,0.005027419784
-5.0,-0.027766601736,5.8354251e-05,-0.006135610105,0.000228448743,8.9547366e-05,0.000251882156,0.003900791775
-5.0,-0.019833286954,2.967624e-05,-0.004361942043,0.000116516634,6.7467696e-05,0.000127825545,0.00277613694
-5.0,-0.011899972173,1.0525667e-05,-0.002584827251,4.1678589e-05,4.7272447e-05,4.5613294e-05,0.00164940882
-5.0,-0.003966657391,1.08418e-06,-0.000822696538,4.357333e-06,2.4580746e-05,4.753072e-06,0.000530073588
-5.0,0.003966657391,1.08418e-06,0.000822696538,4.357333e-06,-2.4580746e-05,4.753072e-06,-0.000530073588
-5.0,0.011899972173,1.0525667e-05,0.002584827251,4.1678589e-05,-4.7272447e-05,4.5613294e-05,-0.00164940882
-5.0,0.019833286954,2.967624e-05,0.004361942043,0.000116516634,-6.7467696e-05,0.000127825545,-0.00277613694
-5.0,0.027766601736,5.8354251e-05,0.006135610105,0.000228448743,-8.9547366e-05,0.000251882156,-0.003900791775
-5.0,0.035699916518,9.6615315e-05,0.007913883845,0.000379822249,-0.000111827388,0.000417198706,-0.005027419784
0.0,-0.035699916518,4.6577859e-05,-0.0064094007,0.000200992995,-0.001878431384,0.000270151254,0.004288812148
0.0,-0.027766601736,2.8414978e-05,-0.004992857082,0.000134215474,-0.001458835536,0.000179096492,0.003339292904
0.0,-0.019833286954,1.4622811e-05,-0.003582888691,6.029373e-05,-0.001044472343,8.0419377e-05,0.00239322561
0.0,-0.011899972173,5.322025e-06,-0.002174007679,7.05862e-07,-0.000635392524,1.766932e-06,0.00144883783
0.0,-0.003966657391,7.00129e-07,-0.000767809352,-2.005031e-06,-0.000226668272,-2.657824e-06,0.000508016159
0.0,0.003966657391,7.00129e-07,0.000767809352,-2.005031e-06,0.000226668272,-2.657824e-06,-0.000508016159
0.0,0.011899972173,5.322025e-06,0.002174007679,7.05862e-07,0.000635392524,1.766932e-06,-0.00144883783
0.0,0.019833286954,1.4622811e-05,0.003582888691,6.029373e-05,0.001044472343,8.0419377e-05,-0.00239322561
0.0,0.027766601736,2.8414978e-05,0.004992857082,0.000134215474,0.001458835536,0.000179096492,-0.003339292904
0.0,0.035699916518,4.6577859e-05,0.0064094007,0.000200992995,0.001878431384,0.000270151254,-0.004288812148
5.0,-0.035699916518,1.2406779e-05,-0.00345244348,-1.129235e-06,-0.003651967938,9.8435496e-05,0.002966639715
5.0,-0.027766601736,8.193039e-06,-0.0026387508,-3.850195e-06,-0.002835298874,5.5511628e-05,0.002294861036
5.0,-0.019833286954,4.809049e-06,-0.001870096931,-6.082945e-06,-0.002025972293,2.487137e-05,0.001641633845
5.0,-0.011899972173,2.371964e-06,-0.001160933391,-5.582234e-06,-0.001226423269,5.853705e-06,0.001014629437
5.0,-0.003966657391,6.12509e-07,-0.000412617474,-2.623885e-06,-0.00041909333,-1.163471e-06,0.000363311555
5.0,0.003966657391,6.12509e-07,0.000412617474,-2.623885e-06,0.00041909333,-1.163471e-06,-0.000363311555
5.0,0.011899972173,2.371964e-06,0.001160933391,-5.582234e-06,0.001226423269,5.853705e-06,-0.001014629437
5.0,0.019833286954,4.809049e-06,0.001870096931,-6.082945e-06,0.002025972293,2.487137e-05,-0.001641633845
