# RCF16
parameter,independent_variables,2
parameter,coordinate_system,body
alpha[deg],pbar,Cx,Cy,Cz,Cl,Cm,Cn
-20.0,-0.118999721727,0.00504726879,0.045098714437,0.010948852841,0.052911172928,0.003652397792,-0.029283329989
-20.0,-0.092555339121,0.003053644731,0.035075002067,0.00662565047,0.041069918367,0.002209462209,-0.022764357557
-20.0,-0.066110956515,0.048267139092,0.024872589447,0.178704724557,0.029269433104,0.110956750506,-0.016187288792
-20.0,-0.039666573909,0.003533473988,0.014838299535,0.017310141006,0.017535726059,0.010783854,-0.009681910694
-20.0,-0.013222191303,6.2237024e-05,0.004938497924,0.000134823617,0.005843473943,4.446918e-05,-0.003226462254
-20.0,0.013222191303,6.2237024e-05,-0.004938497924,0.000134823617,-0.005843473943,4.446918e-05,0.003226462254
-20.0,0.039666573909,0.003533473988,-0.014838299535,0.017310141006,-0.017535726059,0.010783854,0.009681910694
-20.0,0.066110956515,0.048267139093,-0.024872589447,0.178704724559,-0.029269433104,0.110956750507,0.016187288792
-20.0,0.092555339121,0.003053644731,-0.035075002067,0.00662565047,-0.041069918367,0.002209462209,0.022764357557
-20.0,0.118999721727,0.00504726879,-0.045098714437,0.010948852841,-0.052911172928,0.003652397792,0.029283329989
-15.0,-0.118999721727,0.004249342466,0.033577538596,0.00783554873,0.046747019209,0.002171917657,-0.021340992479
-15.0,-0.092555339121,0.002570427546,0.026085887012,0.004745222241,0.036266600069,0.001318091638,-0.016578543946
-15.0,-0.066110956515,0.001311597392,0.018613773098,0.002422427951,0.025856651641,0.000673171316,-0.011830703397
-15.0,-0.039666573909,0.000472220601,0.011142581122,0.000871890028,0.01549311697,0.000241831738,-0.007086361621
-15.0,-0.013222191303,5.2337438e-05,0.003684286194,9.6521575e-05,0.005154703721,2.6432641e-05,-0.00234633018
-15.0,0.013222191303,5.2337438e-05,-0.003684286194,9.6521575e-05,-0.005154703721,2.6432641e-05,0.00234633018
-15.0,0.039666573909,0.000472220601,-0.011142581122,0.000871890028,-0.01549311697,0.000241831738,0.007086361621
-15.0,0.066110956515,0.001311597392,-0.018613773098,0.002422427951,-0.025856651641,0.000673171316,0.011830703397
-15.0,0.092555339121,0.002570427546,-0.026085887012,0.004745222241,-0.036266600069,0.001318091638,0.016578543946
-15.0,0.118999721727,0.004249342466,-0.033577538596,0.00783554873,-0.046747019209,0.002171917657,0.021340992479
-10.0,-0.118999721727,0.003612713981,0.022624521826,0.004458662676,0.042242231063,0.000415532765,-0.013800204113
-10.0,-0.092555339121,0.002183701363,0.017575248462,0.00270256588,0.032752300093,0.000255902833,-0.010719708313
-10.0,-0.066110956515,0.001113741708,0.012548559728,0.001380425725,0.023341841852,0.000131288828,-0.007653035783
-10.0,-0.039666573909,0.00040097168,0.007539494679,0.000496931371,0.013987326905,4.6599377e-05,-0.004596589606
-10.0,-0.013222191303,4.4584074e-05,0.002503909359,5.5104478e-05,0.004659942419,4.85614e-06,-0.001529815125
-10.0,0.013222191303,4.4584074e-05,-0.002503909359,5.5104478e-05,-0.004659942419,4.85614e-06,0.001529815125
-10.0,0.039666573909,0.00040097168,-0.007539494679,0.000496931371,-0.013987326905,4.6599377e-05,0.004596589606
-10.0,0.066110956515,0.001113741708,-0.012548559728,0.001380425725,-0.023341841852,0.000131288828,0.007653035783
-10.0,0.092555339121,0.002183701363,-0.017575248462,0.00270256588,-0.032752300093,0.000255902833,0.010719708313
-10.0,0.118999721727,0.003612713981,-0.022624521826,0.004458662676,-0.042242231063,0.000415532765,0.013800204113
-5.0,-0.118999721727,0.003246702413,0.012890050357,0.001797244615,0.039236396741,-0.000180753882,-0.006930961517
-5.0,-0.092555339121,0.00195917102,0.009919060688,0.000958624741,0.030476405866,-0.000287602077,-0.005338807119
-5.0,-0.066110956515,0.000993115347,0.007006569866,0.000333483575,0.021772753351,-0.000369201044,-0.003775927573
-5.0,-0.039666573909,0.000355143694,0.004169954407,6.3135574e-05,0.013063033851,-0.000217465467,-0.002249741043
-5.0,-0.013222191303,3.9429343e-05,0.001366394704,6.226605e-06,0.004346300972,-2.5446271e-05,-0.000738449905
-5.0,0.013222191303,3.9429343e-05,-0.001366394704,6.226605e-06,-0.004346300972,-2.5446271e-05,0.000738449905
-5.0,0.039666573909,0.000355143694,-0.004169954407,6.3135574e-05,-0.013063033851,-0.000217465467,0.002249741043
-5.0,0.066110956515,0.000993115347,-0.007006569866,0.000333483575,-0.021772753351,-0.000369201044,0.003775927573
-5.0,0.092555339121,0.00195917102,-0.009919060688,0.000958624741,-0.030476405866,-0.000287602077,0.005338807119
-5.0,0.118999721727,0.003246702413,-0.012890050357,0.001797244615,-0.039236396741,-0.000180753882,0.006930961517
0.0,-0.118999721727,0.003131457199,0.003980132266,0.002713651412,0.037774740751,0.003843839936,-0.000494984961
0.0,-0.092555339121,0.001890017359,0.002978110626,0.001578609007,0.029225529199,0.002199411202,-0.000328115662
0.0,-0.066110956515,0.000963046621,0.002069864996,0.000868410952,0.020783786596,0.001177693546,-0.00020704458
0.0,-0.039666573909,0.000346752854,0.001112934088,-0.00014470345,0.012502888166,-0.000156984615,-6.0021654e-05
0.0,-0.013222191303,3.8208502e-05,0.000339748835,-9.8226447e-05,0.004155389734,-0.000124169075,-7.716261e-06
0.0,0.013222191303,3.8208502e-05,-0.000339748835,-9.8226447e-05,-0.004155389734,-0.000124169075,7.716261e-06
0.0,0.039666573909,0.000346752854,-0.001112934088,-0.00014470345,-0.012502888166,-0.000156984615,6.0021654e-05
0.0,0.066110956515,0.000963046621,-0.002069864996,0.000868410952,-0.020783786596,0.001177693546,0.00020704458
0.0,0.092555339121,0.001890017359,-0.002978110626,0.001578609007,-0.029225529199,0.002199411202,0.000328115662
0.0,0.118999721727,0.003131457199,-0.003980132266,0.002713651412,-0.037774740751,0.003843839936,0.000494984961
5.0,-0.118999721727,0.003120607479,-0.002540019138,-0.002586146184,0.037847606521,-0.00053701914,0.0047119399
5.0,-0.092555339121,0.001884320095,-0.002008351825,-0.00157355721,0.029311916594,-0.000336974642,0.003687481438
5.0,-0.066110956515,0.000960267369,-0.001456214718,-0.000806698849,0.020867901555,-0.000177372424,0.002650351901
5.0,-0.039666573909,0.000345535379,-0.000892053262,-0.00029160121,0.012489787739,-6.5733991e-05,0.001604246574
5.0,-0.013222191303,3.8360862e-05,-0.000351862168,-3.2420617e-05,0.004145156946,-7.472038e-06,0.000568733381
5.0,0.013222191303,3.8360862e-05,0.000351862168,-3.2420617e-05,-0.004145156946,-7.472038e-06,-0.000568733381
5.0,0.039666573909,0.000345535379,0.000892053262,-0.00029160121,-0.012489787739,-6.5733991e-05,-0.001604246574
5.0,0.066110956515,0.000960267369,0.001456214718,-0.000806698849,-0.020867901555,-0.000177372424,-0.002650351901
5.0,0.092555339121,0.001884320095,0.002008351825,-0.00157355721,-0.029311916594,-0.000336974642,-0.003687481438
5.0,0.118999721727,0.003120607479,0.002540019138,-0.002586146184,-0.037847606521,-0.00053701914,-0.0047119399
10.0,-0.118999721727,0.003495999062,-0.012067523738,-0.00606561517,0.040435551299,-0.002353152871,0.010990357133
10.0,-0.092555339121,0.002111470348,-0.009472060813,-0.003675687805,0.031322169254,-0.001430485516,0.008583466325
10.0,-0.066110956515,0.001075794817,-0.006815234777,-0.001877296536,0.022302016249,-0.000732197739,0.006153351421
10.0,-0.039666573909,0.00038666096,-0.00410178269,-0.000675638483,0.013350897857,-0.000263696802,0.003702040828
10.0,-0.013222191303,4.2605094e-05,-0.001452551141,-7.4359835e-05,0.004429244826,-2.8698267e-05,0.00127876899
10.0,0.013222191303,4.2605094e-05,0.001452551141,-7.4359835e-05,-0.004429244826,-2.8698267e-05,-0.00127876899
10.0,0.039666573909,0.00038666096,0.00410178269,-0.000675638483,-0.013350897857,-0.000263696802,-0.003702040828
10.0,0.066110956515,0.001075794817,0.006815234777,-0.001877296536,-0.022302016249,-0.000732197739,-0.006153351421
10.0,0.092555339121,0.002111470348,0.009472060813,-0.003675687805,-0.031322169254,-0.001430485516,-0.008583466325
10.0,0.118999721727,0.003495999062,0.012067523738,-0.00606561517,-0.040435551299,-0.002353152871,-0.010990357133
15.0,-0.118999721727,0.004153355125,-0.005277007749,-0.009054628232,0.047232308795,-0.003747546173,0.010569250574
15.0,-0.092555339121,0.00252517945,-0.00165761639,-0.005488302255,0.037004250839,-0.002293687467,0.007184950966
15.0,-0.066110956515,0.001304446211,0.001839225358,-0.002811762598,0.026838891794,-0.001198770482,0.003855633473
15.0,-0.039666573909,0.000488671826,0.005116291574,-0.00102736918,0.016696668013,-0.000464244923,0.000625090463
15.0,-0.013222191303,6.9095513e-05,0.00656883005,-0.00012870996,0.006300973335,-7.7795882e-05,-0.001820569538
15.0,0.013222191303,6.9095513e-05,-0.00656883005,-0.00012870996,-0.006300973335,-7.7795882e-05,0.001820569538
15.0,0.039666573909,0.000488671826,-0.005116291574,-0.00102736918,-0.016696668013,-0.000464244923,-0.000625090463
15.0,0.066110956515,0.001304446211,-0.001839225358,-0.002811762598,-0.026838891794,-0.001198770482,-0.003855633473
15.0,0.092555339121,0.00252517945,0.00165761639,-0.005488302255,-0.037004250839,-0.002293687467,-0.007184950966
15.0,0.118999721727,0.004153355125,0.005277007749,-0.009054628232,-0.047232308795,-0.003747546173,-0.010569250574
20.0,-0.118999721727,0.029465255586,-0.074552792778,-0.13494606905,0.077670338578,-0.114185268474,-0.024605392637
20.0,-0.092555339121,0.014539294825,0.079966915251,-0.0175648882,0.073287226251,-0.022106445881,-0.060446630402
20.0,-0.066110956515,0.006766282629,0.141091578149,-0.00746073815,0.059720066218,-0.009308897609,-0.067284889032
20.0,-0.039666573909,0.001735246033,0.122618545063,-0.000995103504,0.039279126331,-0.001175670433,-0.051537945927
20.0,-0.013222191303,-0.001007864911,0.06540699311,0.003040280867,0.016850219834,0.003855726382,-0.027572918431
20.0,0.013222191303,-0.001007864911,-0.06540699311,0.003040280867,-0.016850219834,0.003855726382,0.027572918431
20.0,0.039666573909,0.001735246033,-0.122618545063,-0.000995103504,-0.039279126331,-0.001175670433,0.051537945926
20.0,0.066110956515,0.006766282629,-0.141091578149,-0.00746073815,-0.059720066218,-0.009308897609,0.067284889032
20.0,0.092555339121,0.014539294825,-0.079966915251,-0.0175648882,-0.073287226251,-0.022106445881,0.060446630402
20.0,0.118999721727,0.029465255586,0.074552792778,-0.13494606905,-0.077670338578,-0.114185268474,0.024605392637
