# Aircraft: RC F16
# Date Generated: 2025-04-30 14:02:27
# Ventral Fins: False
# Reference Area (ft^2): 2.98
# Longitudinal Reference Length (ft): 1.097
# Lateral Reference Length (ft): 3
parameter,independent_variables,2
parameter,coordinate_system,body

beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
0.0,-10.0,0.00234890507717668,1.34866860535361e-16,0.566814477253537,1.40920935354456e-16,0.0772608196702411,-5.24245912961999e-17
0.0,-5.0,-0.028162805091624,1.06137108174352e-16,0.236372055487747,7.25372949562911e-17,0.0274163936784149,-3.66351504413355e-17
0.0,0.0,-0.0426746052513643,2.62947608783775e-19,-0.109231898396626,-1.70397200788683e-17,-0.0398498359417989,7.92237874007135e-19
0.0,5.0,-0.0409549880912643,1.11059304987984e-16,-0.445124284701887,-1.00893382063566e-16,-0.0953466146686819,-3.80608699370975e-18
0.0,10.0,-0.0219856890804257,4.91316075844881e-16,-0.771129209113731,-1.53040243916491e-16,-0.143657808035194,-1.79152252271095e-16
0.0,15.0,0.0184348550453347,-2.84413108238543e-16,-1.09913957767075,-5.16981210337211e-16,-0.204631170381086,-1.87953456576547e-16
0.0,20.0,0.0858497828700794,8.71484000401294e-17,-1.42880882595603,-7.00530336186188e-16,-0.281984225239321,-2.88354364876586e-16
10.0,-20.0,0.141419721212882,-0.203487298485774,1.18149436267016,-0.0226039826713804,0.221525514574855,0.0677399484477166
10.0,-15.0,0.0678847661818519,-0.196453158862118,0.858655745343315,-0.024136169428677,0.147270203189934,0.0633946049650203
10.0,-10.0,0.0136493622479551,-0.188963112216163,0.537285269420283,-0.0240429583062603,0.0808721587532808,0.0587652765502685
10.0,-5.0,-0.0219991962592546,-0.173771133381452,0.214302764943853,-0.0209480005188952,0.0168064941045464,0.0519654027163351
10.0,0.0,-0.0386026560296045,-0.15414258475831,-0.0957284881267968,-0.0155440971882104,-0.0268160637919976,0.0438474069464824
10.0,5.0,-0.0349592474615899,-0.141300075412413,-0.404151020125429,-0.010698172721428,-0.0750821318404611,0.0385994539149128
10.0,10.0,-0.00985540913318874,-0.139020808208323,-0.734448333233741,-0.00769218979477163,-0.153140257657933,0.0385479167133033
10.0,15.0,0.0418526134200727,-0.227178184002197,-1.07157905323708,-0.0191499489631069,-0.248439922299538,0.0769169723058448
10.0,20.0,0.108452208686713,-0.12978985037411,-1.39543184263114,-0.00516621164110096,-0.329319544573329,0.0364132372829674
20.0,-20.0,0.158720494099449,-0.460115811357641,1.085019395253,-0.0486465965601618,0.244496526940158,0.151952830657098
20.0,-15.0,0.0946740226211122,-0.457767237549779,0.767805124124809,-0.0512161938402175,0.142918130711318,0.146239998178002
20.0,-10.0,0.0418414008046142,-0.448818378994912,0.459526815920272,-0.0500207283749677,0.0479182796268791,0.139371231056639
20.0,-5.0,0.00513592239751223,-0.43034302614112,0.169977728936914,-0.0462857719465096,-0.0193727814026612,0.130104203897164
20.0,0.0,-0.0117247091909536,-0.408036096708609,-0.093469634373575,-0.044060615134919,-0.0438974984747664,0.12005669508467
20.0,5.0,-0.00628103940168446,-0.395917850567642,-0.380918032208526,-0.0393480616111844,-0.106345430885711,0.116039956081759
20.0,10.0,0.0224569069196453,-0.398577360914162,-0.696445197476886,-0.0348940594435353,-0.214743136883086,0.120625364417452
20.0,15.0,0.066704955767064,-0.369356386330917,-1.00257217789736,-0.0310762301736234,-0.310771475428446,0.114594180516521
20.0,20.0,0.194900318699275,-0.659398171298165,-1.63433780506485,-0.0356275135940337,-0.779056834072651,0.18613469571482
