# Aircraft: RC F16
# Date Generated: 2025-04-30 14:06:52
# Ventral Fins: False
# Reference Area (ft^2): 2.98
# Longitudinal Reference Length (ft): 1.097
# Lateral Reference Length (ft): 3
parameter,independent_variables,3
parameter,coordinate_system,body

elevator[deg],beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-30.0,-10.0,15.0,-0.0562968120505267,0.016478142067945012,0.1797949251835259,-0.007589858438408802,0.24756494474120078,-0.009507941093581412
-30.0,-10.0,20.0,-0.05575437975096909,0.013734398066467007,0.19190137374328997,-0.0071461846636477495,0.2632543267671325,-0.0083535015231938
-30.0,0.0,-20.0,-0.07579596525599921,1.555731767068145e-17,0.2126386736753001,3.4307794308505003e-17,0.298580399966754,-1.18912713634771e-16
-30.0,0.0,-15.0,-0.0727579494767137,-9.935501066809153e-17,0.1941539839909161,-2.080413950744004e-17,0.27259299180779795,8.14308531572357e-17
-30.0,0.0,-10.0,-0.07008758081700898,1.6971241722727598e-16,0.18154676338074205,-5.839377339082789e-17,0.2547389410186479,-1.4091959537494212e-16
-30.0,0.0,-5.0,-0.0675279473492784,-2.1150341480368902e-17,0.17336758135802902,2.33234484951697e-17,0.24290020069448012,-6.704200497517981e-19
-30.0,0.0,0.0,-0.0629646791668727,-6.053115709192157e-17,0.1671782592756691,2.3695480433459015e-18,0.2334253637155449,9.739849084657956e-17
-30.0,0.0,5.0,-0.060302343672178696,-1.42077869786105e-16,0.16640668166616596,6.48100973924528e-17,0.23176235965010988,1.2075297954520177e-16
-30.0,0.0,10.0,-0.0593393443493587,-5.875992134274993e-17,0.16929167565288494,6.848473751115059e-17,0.23491411622233332,8.82973761247685e-17
-30.0,0.0,15.0,-0.058488943939363,4.6087020205458004e-17,0.17626295620215904,6.375562081938201e-17,0.2435404951627944,2.4657182011635003e-17
-30.0,0.0,20.0,-0.057913075129054595,-2.280104466595014e-16,0.18755526697121017,1.3563348533890397e-16,0.2579069081973815,9.335882173723401e-17
-30.0,10.0,-20.0,-0.07462197560809039,-0.008382851700740018,0.21452295608185,0.008023905107788101,0.3001654992295749,0.0032859666872477045
-30.0,10.0,-15.0,-0.07165645452544936,-0.01006773491944099,0.19581551405312503,0.0086579497105662,0.273761800295456,0.004586653192948903
-30.0,10.0,-10.0,-0.0686143570287946,-0.011712875609192014,0.18299659338750096,0.008967559184145001,0.2556173958091522,0.005749564792697795
-30.0,10.0,-5.0,-0.0654313158531212,-0.011569582312957988,0.17802910329625302,0.008564143280105699,0.2484574495321706,0.005990547395381594
-30.0,10.0,0.0,-0.0639834382855895,-0.01182706707925299,0.17279619545458258,0.00853548281059267,0.2404369298346686,0.0063340899061501005
-30.0,10.0,5.0,-0.0622188258804816,-0.013011483984437022,0.17133366457706597,0.00846235598186036,0.2376917184940331,0.007190169638994402
-30.0,10.0,10.0,-0.05911956405881346,-0.015828030115815017,0.172283369398757,0.008365370732539255,0.23815453410705428,0.008915842480121797
-30.0,10.0,15.0,-0.0562968120505262,-0.01647814206794601,0.1797949251835239,0.007589858438409,0.2475649447411977,0.009507941093581412
-30.0,10.0,20.0,-0.055754379750972,-0.013734398066467007,0.19190137374328997,0.0071461846636478,0.26325432676713234,0.0083535015231933
-30.0,20.0,-20.0,-0.0710089034013164,-0.018255231063672994,0.21657952787155987,0.015806503167630402,0.299467297829069,0.008244073303286997
-30.0,20.0,-15.0,-0.0671808881340324,-0.022436948233769016,0.19647721232842508,0.0171739499522253,0.270651280230082,0.011290859488367
-30.0,20.0,-10.0,-0.061984262549706404,-0.02797710138901699,0.1784920662471,0.019355283015558902,0.24390580537009687,0.015433965949826989
