# Aircraft: RC F16
# Date Generated: 2025-04-30 14:09:05
# Ventral Fins: False
# Reference Area (ft^2): 2.98
# Longitudinal Reference Length (ft): 1.097
# Lateral Reference Length (ft): 3
parameter,independent_variables,3
parameter,coordinate_system,body

aileron[deg],beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-30.0,20.0,-5.0,-0.04129698099687453,-0.047466514029763984,0.11073955154290097,0.0630052793196935,-0.10678441863651779,0.013743414320583985
-30.0,20.0,0.0,-0.0548382225264705,-0.031319450740765975,0.1293442050052907,0.0614744810319249,-0.0792987946887786,0.009718931006572992
-30.0,20.0,5.0,-0.06986793148026853,-0.024244926215213014,0.13373494196914898,0.0627073602402334,-0.06142576090846799,0.009023438680593007
-30.0,20.0,10.0,-0.0825676669594316,-0.044386607100311004,0.11817422295647007,0.0654192972612641,-0.06695964352876099,0.018495625551088996
-30.0,20.0,15.0,-0.060357674374372686,-0.36646560814004897,0.06436884014384492,0.02755021722654913,-0.1281529484697,0.15099403744177303
-30.0,20.0,20.0,-0.18523038587961616,0.396073477243211,0.37463026700317004,0.12449890589415159,0.282832251116832,-0.13138280637070449
-20.0,-20.0,-20.0,-0.07750403707442659,-0.04146053338122402,-0.05736865026681004,0.0622004206809435,0.052126902817744014,0.016030674496428005
-20.0,-20.0,-15.0,-0.0719409382995657,-0.036920092105755975,-0.07190236235770697,0.054695224821394994,0.05480654577989599,0.015446159305515017
-20.0,-20.0,-10.0,-0.0630594626123105,-0.02771732779872399,-0.08150407740092802,0.0481910198408071,0.058503984057511796,0.012872019274490998
-20.0,-20.0,-5.0,-0.05170381004094632,-0.01784718883991504,-0.07352207104409698,0.04581548663072219,0.0826447067739882,0.01078585252274801
-20.0,-20.0,0.0,-0.0415094859569004,-0.0044434380727350065,-0.09477972412030569,0.044240112340021995,0.0572436280573062,0.006614224693433993
-20.0,-20.0,5.0,-0.032521664153692606,0.0032342899969399763,-0.10230056521561098,0.0452668564622113,0.0439772815438782,0.0047252585983810075
-20.0,-20.0,10.0,-0.02429845428853708,-0.007473546906124007,-0.0977908398126569,0.04739276091812399,0.044159331461728984,0.010142277369769997
-20.0,-20.0,15.0,-0.025984418238105093,-0.11806924360501098,-0.08423035309553994,0.03318838553428741,0.05224014806009203,0.0615536447670159
-20.0,-20.0,20.0,0.06658548588672802,0.503230367413147,-0.1850063663255499,0.1110560874268777,-0.1277093232974179,-0.169118679024151
-20.0,-10.0,-20.0,-0.05470641026598419,-0.04119256838466298,-0.021502128015229882,0.0665499349252018,0.035701278391913976,0.012108796343401895
-20.0,-10.0,-15.0,-0.0531748983990461,-0.03806810260215501,-0.03034843160227907,0.061286741012006096,0.03731791998598799,0.013015235309512603
-20.0,-10.0,-10.0,-0.0499998249306013,-0.031783825775335006,-0.03471215587342302,0.057380724209230696,0.042374803932509295,0.012679896714531201
-20.0,-10.0,-5.0,-0.045250116632924005,-0.02349625694402599,-0.028596577576054993,0.055473513583921,0.0587074152194997,0.0116965471239606
-20.0,-10.0,0.0,-0.0398130690343591,-0.012253084853259988,-0.015620537405807988,0.0533834305384517,0.0667635189416527,0.0092943137281455
-20.0,-10.0,5.0,-0.03650387280901261,0.002052697383336022,-0.03966890266152695,0.05526786396721051,0.0471049989265037,0.004915683641893799
-20.0,-10.0,10.0,-0.032541123431535104,0.013352053545945014,-0.051583529460660915,0.05862845450740728,0.028876384912381994,0.0015956080636385997
-20.0,-10.0,15.0,-0.029409666744306902,0.022148777617467003,-0.053956656378180146,0.06346228342918671,0.021121153891294986,-0.00012093599202250838
-20.0,-10.0,20.0,-0.027673296632393193,0.022388904598568987,-0.051559341913860024,0.06913778554550315,0.017016381351540044,0.0012633421798535008
-20.0,0.0,-20.0,-0.041298166617222104,-0.04307287122816019,0.01276568738098005,0.06835095257413737,0.0028124787244820093,0.01034383151261779
-20.0,0.0,-15.0,-0.0412470017666804,-0.040067934995716606,0.009446968362612052,0.06436404295066817,0.0021080690817689984,0.01148545740896314
-20.0,0.0,-10.0,-0.04097041710408358,-0.04554813384750953,0.0059930980918520005,0.060727516537129364,0.00118658331329001,0.014783441977020553
-20.0,0.0,-5.0,-0.0413803937844377,-0.035431858581171406,0.0036132695923490055,0.06016602185253343,0.0012943869893264973,0.014046386932949836
-20.0,0.0,0.0,-0.0414629616120317,-0.0175989161991589,-0.0010394846883610004,0.059885499506426715,-0.0018375358097331984,0.0091874449065501
-20.0,0.0,5.0,-0.041113891443265604,-0.00022090091705302304,-0.0034679210523980153,0.060528828972393006,-0.0017031209279955994,0.004250035378858213
-20.0,0.0,10.0,-0.040637070292975405,0.03690933061994691,-0.005851617653234054,0.06563293016746885,-0.0015575173408859944,-0.009015682368232622
