# Aircraft: RC F16
# Date Generated: 2025-04-30 14:09:43
# Ventral Fins: False
# Reference Area (ft^2): 2.98
# Longitudinal Reference Length (ft): 1.097
# Lateral Reference Length (ft): 3
parameter,independent_variables,2
parameter,coordinate_system,body

qbar,alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-0.015664699324518885,-20.0,0.014204858183023,-8.977287342832936e-16,0.06068400496750015,-2.8886342239971014e-17,0.06278181309211403,2.164135043210069e-16
-0.015664699324518885,-15.0,0.009140480038302999,4.830254128459961e-16,0.050482482866069045,-1.7817393521982403e-16,0.05494710340775599,1.055889495328203e-16
-0.015664699324518885,-10.0,0.00558823039565212,-2.3720168385355503e-16,0.04350323105778209,4.944138467588101e-17,0.05025963372060291,9.93110731372363e-17
-0.015664699324518885,-5.0,0.0029919366752689976,-7.41307287019153e-17,0.040163424149322974,-4.69623636957689e-17,0.0486945837922176,1.5767593591704e-17
-0.015664699324518885,0.0,0.0002698755663727015,6.939015544435613e-17,0.03440152890317251,1.512979356763607e-17,0.0416158771428633,-3.869442031036343e-17
-0.015664699324518885,5.0,-0.0020523603804412996,-2.92853160885961e-16,0.03883299153480496,-1.0689808608133996e-17,0.046117151483605096,-5.867231730845236e-17
-0.015664699324518885,10.0,-0.0048924204546574,1.6801420294337402e-16,0.04296113419755099,6.500384845096049e-17,0.04816651887923881,-2.81117391686642e-16
-0.015664699324518885,15.0,-0.0088954346335962,5.850842634005703e-17,0.05027174878875007,8.481400096886098e-17,0.05286202739280599,1.650292799335485e-16
-0.015664699324518885,20.0,-0.014493286022964694,2.2932390619605804e-15,0.06025676127402013,9.55885006479198e-16,0.06010281839414999,-1.196865707487744e-15
-0.007832349662259442,-20.0,0.006832073596712007,1.1830287297317045e-16,0.02967198374405,2.0027530706056802e-16,0.030541458518824005,7.036875991311999e-17
-0.007832349662259442,-15.0,0.004369328344827901,-3.789376725744848e-16,0.02474800937641808,8.9027809221846e-17,0.026847749648861996,2.245032804953864e-16
-0.007832349662259442,-10.0,0.0026377663774527597,-9.476912840448851e-17,0.021425183126840053,-2.48835015594758e-16,0.02471186094957291,-1.8026340834367906e-17
-0.007832349662259442,-5.0,0.0013608608305311007,-1.9323030047667411e-16,0.01991928015403402,-5.683223365780402e-18,0.0241325689149916,6.1288329691835e-17
-0.007832349662259442,0.0,-7.069926377669539e-05,-1.1003587740467175e-17,0.008810452002243008,2.444187087221299e-17,0.009593794513953004,4.226327754293425e-18
-0.007832349662259442,5.0,-0.0011543218820452006,3.0346092042646396e-16,0.019592939623828964,-5.160451300365101e-17,0.023266778626713502,-1.8126023265788824e-16
-0.007832349662259442,10.0,-0.0025964333889416,-5.237396965221218e-16,0.021806030792219988,-2.39193594197857e-16,0.02447170298229101,1.066783572171777e-16
-0.007832349662259442,15.0,-0.004641519952338901,5.93732777214978e-16,0.025608822340569937,4.64650362325848e-16,0.026995985063033995,8.7791787243469e-17
-0.007832349662259442,20.0,-0.007505854378142995,2.5550372859218107e-15,0.030745961030290037,1.112443856451756e-15,0.030788421145057976,-1.1445098049265438e-15
0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007832349662259442,-20.0,-0.006338542826577004,4.144574959358414e-16,-0.02844122707929997,-2.406156557007689e-16,-0.029000515521775988,-9.4431848092248e-17
0.007832349662259442,-15.0,-0.004001456564058099,-1.5355118233285983e-16,-0.023869796598116944,-1.96334735147713e-16,-0.025752103093227008,7.62787834796679e-17
0.007832349662259442,-10.0,-0.00234669718998257,-2.87112441050105e-16,-0.020880818827079928,1.2018664130566101e-16,-0.024031853172033595,9.09369863396977e-17
0.007832349662259442,-5.0,-0.001099411432124102,-5.581495224866291e-17,-0.019705507433406017,1.4044887358932402e-17,-0.02386209475642853,1.47560876146938e-17
