# Aircraft: RC F16
# Date Generated: 2025-04-30 14:10:04
# Ventral Fins: False
# Reference Area (ft^2): 2.98
# Longitudinal Reference Length (ft): 1.097
# Lateral Reference Length (ft): 3
parameter,independent_variables,2
parameter,coordinate_system,body

pbar,alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-0.08567979964335799,-20.0,0.007271736231965004,0.04660809348336431,0.014773611417720156,0.058426846573228476,0.005808783230421,-0.03085174262431281
-0.08567979964335799,-15.0,0.004790174960848902,0.033109061120170494,0.01062397649491098,0.04596325658793327,0.0037003469694399937,-0.021283907447792662
-0.08567979964335799,-10.0,0.0029603962342586295,0.021130206541005364,0.006043353292006004,0.03629041119950726,0.0011922865259133136,-0.013429440486416448
-0.08567979964335799,-5.0,0.0018419792530488983,0.008119477923273694,-0.0003818409249950194,0.030307552897709828,-0.0039003702985721013,-0.006025935238692544
-0.08567979964335799,0.0,0.0010990100254052032,0.00820813282504243,0.0329042587289939,0.021154602199733617,0.04216434175251961,-0.0046228106390341205
-0.08567979964335799,5.0,0.0021251037878639994,-0.005331406223910461,-0.003642839713925039,0.0301883780562523,-0.000494361105891003,0.0041148129997623534
-0.08567979964335799,10.0,0.003412461060423401,-0.021019120708010094,-0.008549706566171045,0.03615980205385475,-0.0033587801275729856,0.01310754659178688
-0.08567979964335799,15.0,0.005439984762665398,-0.030944350241129216,-0.01294724106628009,0.04628482200876782,-0.005642999725113007,0.020820515734718787
-0.08567979964335799,20.0,0.0081315764249172,-0.042505538453538994,-0.016960674991859825,0.059723922145701804,-0.007579262864741032,0.029840619063882787
-0.042839899821678996,-20.0,0.0018131873460429937,0.023156610893145902,0.00369434325545015,0.029094050962087274,0.001454204175005025,-0.015303498390214911
-0.042839899821678996,-15.0,0.001192986801269301,0.016510394389603392,0.002655787567100054,0.022865565640738172,0.0009265756399329805,-0.010568481757657759
-0.042839899821678996,-10.0,0.0007350449078574201,0.010483384624754864,0.0015090318795420998,0.01801880305006276,0.0002976528860498123,-0.006654006725455188
-0.042839899821678996,-5.0,0.00047589397428140015,0.003428476944473354,0.00020085217411699996,0.014805776543994727,-0.0005544298049028028,-0.0028349697284209834
-0.042839899821678996,0.0,0.0003337040412164996,-0.00015597436713342126,-0.0036930495189630014,0.013840360940818917,-0.0022770754726614967,-0.00010816607119801278
-0.042839899821678996,5.0,0.0005266156575435971,-0.001071329630464411,-0.0009125945314280015,0.015060701719235601,-0.00013047577636400576,0.0014573103749843139
-0.042839899821678996,10.0,0.0008470586077395995,-0.01001654784603239,-0.0021331178059700306,0.018002023936411652,-0.0008361010491569898,0.006320863330468219
-0.042839899821678996,15.0,0.001360679235895397,-0.016382453698087017,-0.003244248508269987,0.02281478489142282,-0.0014257055989509992,0.010833951351562288
-0.042839899821678996,20.0,0.0020288108417204076,-0.021283274106797288,-0.004237945546229804,0.0297174717406221,-0.00189375178086304,0.014874566013441688
0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
0.042839899821678996,-20.0,0.0018131873460409953,-0.023156610893145697,0.00369434325545015,-0.029094050962087226,0.001454204175005025,0.015303498390215189
0.042839899821678996,-15.0,0.0011929868012686973,-0.016510394389603406,0.002655787567100054,-0.02286556564073873,0.0009265756399329805,0.010568481757657941
0.042839899821678996,-10.0,0.00073504490785884,-0.010483384624755036,0.0015090318795440982,-0.01801880305006324,0.0002976528860532124,0.006654006725455172
0.042839899821678996,-5.0,0.00047589397428090055,-0.0034284769444733664,0.00020085217411699996,-0.014805776543994873,-0.0005544298049064006,0.0028349697284209764
0.042839899821678996,0.0,0.00033370404121620123,0.00015597436713348772,-0.0036930495189649998,-0.013840360940818882,-0.002277075472660997,0.00010816607119799321
0.042839899821678996,5.0,0.0005266156575469,0.0010713296304643589,-0.0009125945314299999,-0.015060701719235499,-0.0001304757763710973,-0.0014573103749842661
0.042839899821678996,10.0,0.0008470586077356998,0.010016547846031409,-0.0021331178059680322,-0.01800202393641115,-0.000836101049152993,-0.0063208633304678
0.042839899821678996,15.0,0.0013606792358963997,0.016382453698087083,-0.003244248508269987,-0.022814784891422083,-0.0014257055989529976,-0.010833951351562213
0.042839899821678996,20.0,0.00202881084173151,0.021283274106797815,-0.004237945546229804,-0.029717471740621598,-0.0018937517808740312,-0.014874566013441611
0.08567979964335799,-20.0,0.007271736231960008,-0.046608093483364095,0.014773611417720156,-0.058426846573228726,0.0058087832304150044,0.030851742624312586
0.08567979964335799,-15.0,0.0047901749608513025,-0.033109061120170806,0.01062397649491198,-0.045963256587933626,0.0037003469694449898,0.02128390744779284
0.08567979964335799,-10.0,0.00296039623425919,-0.021130206541005437,0.006043353292007003,-0.036290411199507336,0.0011922865259154092,0.013429440486416451
0.08567979964335799,-5.0,0.001841979253048999,-0.008119477923273796,-0.0003818409249950194,-0.030307552897709873,-0.0039003702985716017,0.006025935238692577
0.08567979964335799,0.0,0.0010990100254052032,-0.00820813282504247,0.032904258728993704,-0.021154602199733582,0.0421643417525197,0.004622810639034139
0.08567979964335799,5.0,0.002125103787865297,0.005331406223910779,-0.0036428397139260382,-0.0301883780562524,-0.0004943611058930986,-0.004114812999762616
0.08567979964335799,10.0,0.0034124610604238,0.02101912070800911,-0.008549706566171045,-0.03615980205385455,-0.003358780127574984,-0.01310754659178632
0.08567979964335799,15.0,0.0054399847626607,0.030944350241129286,-0.01294724106628009,-0.04628482200876728,-0.0056429997251100095,-0.020820515734718312
0.08567979964335799,20.0,0.0081315764249148,0.04250553845353861,-0.016960674991859825,-0.0597239221457007,-0.007579262864737035,-0.02984061906388291
